,Unnamed: 0,w,taken_paths,costs,loss,ground_truth,trial_id,i_episode,actions,return,full_actions,sim_experiment_setting,sim_model_yaml,sim_feature_yaml,sim_prior_json,sim_constant_yaml,sim_cost_function,sim_cost_parameter_values,sim_num_simulated,sim_num_trials,static_cost_weight,depth_cost_weight,pid,num_early,num_middle,num_late,num_clicks,unbounded_present_bias,unbounded_loss,over_under,present,present_late,state
0,0,"[-0.9588923819389337, -1.2735555555364009, -0.5575399438361259, 0.370664149713049, -2.436448140533797, 1.33094963074523, 0.8825984206129028, 1.004302608055043, 1.8627749358229, 0.33753886374748643, 0.6094255773962182, -0.7760524531075367, 0.5625090008095341, -0.8836607985735704, 0.27899640340260806, -1.1678296886021493, -2.4309664491964647, -0.18481705071783291, -0.275415922569904, 0.225872078154303, -0.8502308079577058, 1.2791929385014864, 2.05517632006596, -0.1650344382507774, -2.183760990282125, -2.034199556278193, 1.3913479791884311, 0.5159981382463937, 0.1363954813453553, -0.20744137300551838, 0.6225739981057841, 0.602082746969704, -2.5214800369647006, 2.21641731931884, -1.1768831561774968, 0.3891112491980788, -0.7010467923992606, 0.7365839759846816, -1.1260230184987425, -0.32285018460874776, 0.4941951009815714, -0.1373429918092267, -0.6590880564518399, 0.9463021883308683, 1.4742163464508622, 0.6005263841256264, 0.19269845932454455, 1.4872680099416848, 0.13728848778128608, 0.8212386648632953, -0.2303022966894302, 0.5149529276970082, 0.6212830480273611, -0.0068429844017937076, 0.11966536458449344, -0.5770321929985058]","[1, 2, 3]",[26.0],-26.537109375,"[0.0, -2.0, 4.0, 24.0, -48.0, 4.0, 8.0, 48.0, -24.0, 2.0, -4.0, 24.0, 48.0]",2911385690292515296,0,0,26.0,[0],high_increasing,1729,habitual,search_space,baseline_null,linear_depth,"5.0,0.0",3,30,5.0,0.0,0,False,False,False,False,-6.0,-34.0,-4.015384615384615,0.0,4.015384615384615,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)"
1,1,"[-0.9588923819389337, -1.2735555555364009, -0.5575399438361259, 0.37066414971304906, -2.281810736417294, 1.4082683328034817, 0.9599171226711544, 1.004302608055043, 1.8627749358229, 0.4921762678639895, 0.6094255773962182, -0.7760524531075367, 0.5625090008095341, -0.8836607985735703, 0.43363380751911135, -1.013192284485646, -2.276329045079962, -0.030179646601329834, -0.12077851845340086, 0.225872078154303, -0.8502308079577057, 1.2791929385014864, 2.05517632006596, -0.1650344382507774, -2.183760990282125, -2.034199556278193, 1.3913479791884311, 0.5159981382463937, 0.1363954813453553, -0.20744137300551838, 0.6225739981057841, 0.602082746969704, -2.5214800369647006, 2.21641731931884, -1.1768831561774968, 0.4578389843609691, -0.6237280903410091, 0.813902678042933, -1.1260230184987425, -0.32285018460874776, 0.4941951009815714, -0.1373429918092267, -0.6590880564518399, 1.0236208903891197, 1.4742163464508622, 0.6005263841256264, 0.19269845932454457, 1.4872680099416848, 0.13728848778128608, 0.8985573669215466, -0.14439262773581743, 0.5149529276970082, 0.6212830480273611, -0.006842984401793708, 0.11966536458449342, -0.5770321929985058]","[9, 10, 12]","[-5.0, 26.0]",0.0,"[0.0, -2.0, 4.0, -48.0, -24.0, -4.0, -8.0, -48.0, -24.0, -2.0, 4.0, -24.0, 24.0]",4506983446382794552,1,4,21.0,"[4, 0]",high_increasing,1729,habitual,search_space,baseline_null,linear_depth,"5.0,0.0",3,30,5.0,0.0,0,False,False,True,True,0.0,0.0,-5.0,0.0,5.0,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)"
2,1,"[-0.9588923819389337, -1.2735555555364009, -0.5575399438361259, 0.37066414971304906, -2.281810736417294, 1.4082683328034817, 0.9599171226711544, 1.004302608055043, 1.8627749358229, 0.4921762678639895, 0.6094255773962182, -0.7760524531075367, 0.5625090008095341, -0.8836607985735703, 0.43363380751911135, -1.013192284485646, -2.276329045079962, -0.030179646601329834, -0.12077851845340086, 0.225872078154303, -0.8502308079577057, 1.2791929385014864, 2.05517632006596, -0.1650344382507774, -2.183760990282125, -2.034199556278193, 1.3913479791884311, 0.5159981382463937, 0.1363954813453553, -0.20744137300551838, 0.6225739981057841, 0.602082746969704, -2.5214800369647006, 2.21641731931884, -1.1768831561774968, 0.4578389843609691, -0.6237280903410091, 0.813902678042933, -1.1260230184987425, -0.32285018460874776, 0.4941951009815714, -0.1373429918092267, -0.6590880564518399, 1.0236208903891197, 1.4742163464508622, 0.6005263841256264, 0.19269845932454457, 1.4872680099416848, 0.13728848778128608, 0.8985573669215466, -0.14439262773581743, 0.5149529276970082, 0.6212830480273611, -0.006842984401793708, 0.11966536458449342, -0.5770321929985058]","[9, 10, 12]","[-5.0, 26.0]",-25.55078125,"[0.0, -2.0, 4.0, -48.0, -24.0, -4.0, -8.0, -48.0, -24.0, -2.0, 4.0, -24.0, 24.0]",4506983446382794552,1,0,21.0,"[4, 0]",high_increasing,1729,habitual,search_space,baseline_null,linear_depth,"5.0,0.0",3,30,5.0,0.0,0,False,False,False,False,0.0,0.0,-6.0,0.0,6.0,"(0, Cat, Cat, Cat, -24.0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)"
3,2,"[-0.8759824364458743, -1.2735555555364009, -0.5575399438361259, 0.37066414971304906, -2.1425324714135456, 1.5193624380518862, 1.0710112279195585, 1.004302608055043, 1.8627749358229, 0.7143644783607981, 0.6094255773962182, -0.693142507614475, 0.5625090008095341, -0.8836607985735703, 0.6558220180159204, -0.7910040739888371, -2.054140834583154, 0.10909861840241891, 0.018499746550347845, 0.225872078154303, -0.8502308079577057, 1.2791929385014864, 2.05517632006596, -0.1650344382507774, -2.183760990282125, -2.034199556278193, 1.474257924681491, 0.5159981382463937, 0.1363954813453553, -0.20744137300551838, 0.6225739981057841, 0.602082746969704, -2.5214800369647006, 2.21641731931884, -1.1768831561774968, 0.5565893001373284, -0.5126339850926046, 0.9249967832913372, -1.0431130730056826, -0.23994023911568726, 0.4941951009815714, -0.1373429918092267, -0.6590880564518399, 1.134714995637524, 1.4742163464508622, 0.6005263841256264, 0.19269845932454457, 1.4872680099416848, 0.13728848778128608, 1.0096514721699505, -0.020954733015367967, 0.5149529276970082, 0.6212830480273611, -0.006842984401793708, 0.11966536458449342, -0.49412224750544514]","[1, 2, 4]","[-5.0, 32.0]",0.0,"[0.0, 4.0, 4.0, 48.0, 24.0, 4.0, 8.0, -24.0, -48.0, 2.0, -4.0, -48.0, 24.0]",-4315514392980277613,2,4,27.0,"[4, 0]",high_increasing,1729,habitual,search_space,baseline_null,linear_depth,"5.0,0.0",3,30,5.0,0.0,0,False,False,True,True,0.0,-24.0,-4.0030674846625764,0.0,4.0030674846625764,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)"
4,2,"[-0.8759824364458743, -1.2735555555364009, -0.5575399438361259, 0.37066414971304906, -2.1425324714135456, 1.5193624380518862, 1.0710112279195585, 1.004302608055043, 1.8627749358229, 0.7143644783607981, 0.6094255773962182, -0.693142507614475, 0.5625090008095341, -0.8836607985735703, 0.6558220180159204, -0.7910040739888371, -2.054140834583154, 0.10909861840241891, 0.018499746550347845, 0.225872078154303, -0.8502308079577057, 1.2791929385014864, 2.05517632006596, -0.1650344382507774, -2.183760990282125, -2.034199556278193, 1.474257924681491, 0.5159981382463937, 0.1363954813453553, -0.20744137300551838, 0.6225739981057841, 0.602082746969704, -2.5214800369647006, 2.21641731931884, -1.1768831561774968, 0.5565893001373284, -0.5126339850926046, 0.9249967832913372, -1.0431130730056826, -0.23994023911568726, 0.4941951009815714, -0.1373429918092267, -0.6590880564518399, 1.134714995637524, 1.4742163464508622, 0.6005263841256264, 0.19269845932454457, 1.4872680099416848, 0.13728848778128608, 1.0096514721699505, -0.020954733015367967, 0.5149529276970082, 0.6212830480273611, -0.006842984401793708, 0.11966536458449342, -0.49412224750544514]","[1, 2, 4]","[-5.0, 32.0]",-3.05078125,"[0.0, 4.0, 4.0, 48.0, 24.0, 4.0, 8.0, -24.0, -48.0, 2.0, -4.0, -48.0, 24.0]",-4315514392980277613,2,0,27.0,"[4, 0]",high_increasing,1729,habitual,search_space,baseline_null,linear_depth,"5.0,0.0",3,30,5.0,0.0,0,False,False,False,False,0.0,-24.0,-5.0030674846625764,0.0,5.0030674846625764,"(0, Cat, Cat, Cat, 24.0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)"
5,3,"[-0.8254479314939518, -1.2735555555364009, -0.5575399438361259, 0.37066414971304906, -1.9944483974817353, 1.6186717274937519, 1.170320517361425, 1.0266367306916657, 1.9297773037327683, 0.9129830572445312, 0.6094255773962182, -0.6426080026625538, 0.5625090008095341, -0.8836607985735703, 0.8544405968996528, -0.5923854951051047, -1.8555222556994206, 0.2571826923342294, 0.16658382048215847, 0.40625866029360386, -0.6698442258184049, 1.2791929385014864, 2.05517632006596, -0.1650344382507774, -2.0033744081428235, -2.034199556278193, 1.5247924296334128, 0.5159981382463937, 0.1363954813453553, -0.02705479086621753, 0.6225739981057841, 0.602082746969704, -2.5214800369647006, 2.21641731931884, -1.1657160948591854, 0.6849501312277209, -0.41332469565073865, 1.0243060727332034, -0.9925785680537612, -0.18940573416376538, 0.4941951009815714, -0.1373429918092267, -0.6590880564518399, 1.2340242850793905, 1.4742163464508622, 0.6005263841256264, 0.19269845932454457, 1.4872680099416848, 0.13728848778128608, 1.1089607616118171, 0.0893889219200389, 0.5149529276970082, 0.6212830480273611, -0.006842984401793708, 0.11966536458449342, -0.44358774255352346]","[1, 2, 4]","[-5.0, 18.0]",0.0,"[0.0, -2.0, -4.0, 24.0, 24.0, 4.0, 8.0, -24.0, 48.0, -4.0, -8.0, -48.0, 24.0]",-1753498256348083523,3,4,13.0,"[4, 0]",high_increasing,1729,habitual,search_space,baseline_null,linear_depth,"5.0,0.0",3,30,5.0,0.0,0,False,False,True,True,-6.0,-42.0,-4.0030674846625764,0.0,4.0030674846625764,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)"
6,3,"[-0.8254479314939518, -1.2735555555364009, -0.5575399438361259, 0.37066414971304906, -1.9944483974817353, 1.6186717274937519, 1.170320517361425, 1.0266367306916657, 1.9297773037327683, 0.9129830572445312, 0.6094255773962182, -0.6426080026625538, 0.5625090008095341, -0.8836607985735703, 0.8544405968996528, -0.5923854951051047, -1.8555222556994206, 0.2571826923342294, 0.16658382048215847, 0.40625866029360386, -0.6698442258184049, 1.2791929385014864, 2.05517632006596, -0.1650344382507774, -2.0033744081428235, -2.034199556278193, 1.5247924296334128, 0.5159981382463937, 0.1363954813453553, -0.02705479086621753, 0.6225739981057841, 0.602082746969704, -2.5214800369647006, 2.21641731931884, -1.1657160948591854, 0.6849501312277209, -0.41332469565073865, 1.0243060727332034, -0.9925785680537612, -0.18940573416376538, 0.4941951009815714, -0.1373429918092267, -0.6590880564518399, 1.2340242850793905, 1.4742163464508622, 0.6005263841256264, 0.19269845932454457, 1.4872680099416848, 0.13728848778128608, 1.1089607616118171, 0.0893889219200389, 0.5149529276970082, 0.6212830480273611, -0.006842984401793708, 0.11966536458449342, -0.44358774255352346]","[1, 2, 4]","[-5.0, 18.0]",-3.05078125,"[0.0, -2.0, -4.0, 24.0, 24.0, 4.0, 8.0, -24.0, 48.0, -4.0, -8.0, -48.0, 24.0]",-1753498256348083523,3,0,13.0,"[4, 0]",high_increasing,1729,habitual,search_space,baseline_null,linear_depth,"5.0,0.0",3,30,5.0,0.0,0,False,False,False,False,-6.0,-42.0,-5.0030674846625764,0.0,5.0030674846625764,"(0, Cat, Cat, Cat, 24.0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)"
7,4,"[-0.8488482562706146, -1.2735555555364009, -0.5575399438361259, 0.37066414971304906, -1.920175621517424, 1.6441079530875762, 1.1957567429552494, 1.0127621851862039, 1.888153667216384, 0.9638555084321805, 0.6094255773962182, -0.6660083274392166, 0.5625090008095341, -0.8836607985735703, 0.9053130480873012, -0.5415130439174561, -1.8046498045117703, 0.331455468298541, 0.24085659644647026, 0.5004519063252318, -0.5756509797867769, 1.2791929385014864, 2.05517632006596, -0.1650344382507774, -1.9091811621111938, -2.034199556278193, 1.501392104856749, 0.5159981382463937, 0.1363954813453553, 0.06713845516541023, 0.6225739981057841, 0.602082746969704, -2.5214800369647006, 2.21641731931884, -1.1726533676119155, 0.7284919419848156, -0.38788847005691407, 1.0497422983270277, -1.015978892830425, -0.21280605894042826, 0.4941951009815714, -0.1373429918092267, -0.6590880564518399, 1.2594605106732157, 1.4742163464508622, 0.6005263841256264, 0.19269845932454457, 1.4872680099416848, 0.13728848778128608, 1.134396987205642, 0.11765139480206606, 0.5149529276970082, 0.6212830480273611, -0.006842984401793708, 0.10960493370797235, -0.46698806733018594]","[1, 2, 4]","[-5.0, 14.0]",0.0,"[0.0, -2.0, -8.0, 48.0, 24.0, 4.0, 4.0, 48.0, 24.0, 2.0, -8.0, -24.0, -48.0]",-6480731593057875222,4,4,9.0,"[4, 0]",high_increasing,1729,habitual,search_space,baseline_null,linear_depth,"5.0,0.0",3,30,5.0,0.0,0,False,False,True,True,-6.0,-42.0,-3.0153846153846153,0.0,3.0153846153846153,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)"
8,4,"[-0.8488482562706146, -1.2735555555364009, -0.5575399438361259, 0.37066414971304906, -1.920175621517424, 1.6441079530875762, 1.1957567429552494, 1.0127621851862039, 1.888153667216384, 0.9638555084321805, 0.6094255773962182, -0.6660083274392166, 0.5625090008095341, -0.8836607985735703, 0.9053130480873012, -0.5415130439174561, -1.8046498045117703, 0.331455468298541, 0.24085659644647026, 0.5004519063252318, -0.5756509797867769, 1.2791929385014864, 2.05517632006596, -0.1650344382507774, -1.9091811621111938, -2.034199556278193, 1.501392104856749, 0.5159981382463937, 0.1363954813453553, 0.06713845516541023, 0.6225739981057841, 0.602082746969704, -2.5214800369647006, 2.21641731931884, -1.1726533676119155, 0.7284919419848156, -0.38788847005691407, 1.0497422983270277, -1.015978892830425, -0.21280605894042826, 0.4941951009815714, -0.1373429918092267, -0.6590880564518399, 1.2594605106732157, 1.4742163464508622, 0.6005263841256264, 0.19269845932454457, 1.4872680099416848, 0.13728848778128608, 1.134396987205642, 0.11765139480206606, 0.5149529276970082, 0.6212830480273611, -0.006842984401793708, 0.10960493370797235, -0.46698806733018594]","[1, 2, 4]","[-5.0, 14.0]",-3.05078125,"[0.0, -2.0, -8.0, 48.0, 24.0, 4.0, 4.0, 48.0, 24.0, 2.0, -8.0, -24.0, -48.0]",-6480731593057875222,4,0,9.0,"[4, 0]",high_increasing,1729,habitual,search_space,baseline_null,linear_depth,"5.0,0.0",3,30,5.0,0.0,0,False,False,False,False,-6.0,-42.0,-4.015384615384615,0.0,4.015384615384615,"(0, Cat, Cat, Cat, 24.0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)"
9,5,"[-0.8858161074278859, -1.2735555555364009, -0.5575399438361259, 0.37066414971304906, -1.8679762734041514, 1.6517237015655744, 1.2033724914332493, 0.9710026059532875, 1.7628749295176318, 0.9790870053881803, 0.6094255773962182, -0.7029761785964883, 0.5625090008095341, -0.8836607985735703, 0.9205445450433013, -0.5262815469614558, -1.7894183075557701, 0.38365481641181315, 0.2930559445597418, 0.5691918122097923, -0.5069110739022161, 1.2791929385014864, 2.05517632006596, -0.1650344382507774, -1.8404412562266323, -2.034199556278193, 1.4644242536994778, 0.5159981382463937, 0.1363954813453553, 0.135878361049971, 0.6225739981057841, 0.602082746969704, -2.5214800369647006, 2.21641731931884, -1.1935331572283756, 0.7505370308284958, -0.38027272157891423, 1.0573580468050279, -1.0529467439876972, -0.24977391009770009, 0.4941951009815714, -0.1373429918092267, -0.6590880564518399, 1.267076259151216, 1.4742163464508622, 0.6005263841256264, 0.19269845932454457, 1.4872680099416848, 0.13728848778128608, 1.1420127356836423, 0.12611333755539936, 0.5149529276970082, 0.6212830480273611, -0.006842984401793708, 0.09030982017995524, -0.5039559184874576]","[9, 10, 12]","[-5.0, -5.0, -5.0, -5.0, -5.0, 20.0]",0.0,"[0.0, -2.0, 4.0, -24.0, -24.0, -4.0, -8.0, 48.0, -24.0, 4.0, -8.0, -24.0, 24.0]",-51234349377613834,5,3,-5.0,"[3, 4, 2, 1, 12, 0]",high_increasing,1729,habitual,search_space,baseline_null,linear_depth,"5.0,0.0",3,30,5.0,0.0,0,False,False,True,True,8.0,-16.0,-4.0030674846625764,0.0,4.0030674846625764,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)"
