n_steps,i_episode,finished,return,ground_truth,trial_id,actions,rewards,sim_policy,sim_experiment_setting,sim_cost_function,sim_bmps_file,sim_parameter_file,sim_num_trials,sim_seed,sim_forw_added_cost,sim_back_added_cost,sim_given_cost,sim_distance_multiplier,sim_depth_cost_weight,sim_temp,sim_kappa,sim_gamma,sim_noise,pid
6,0,True,38.349718460127114,"[0.0, -2.0, 8.0, 24.0, -24.0, -4.0, -4.0, 24.0, -24.0, -2.0, -4.0, 48.0, -24.0]",116491454106625506,8,-2.23606797749979,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,MainExperiment_participants_random_effects,20,91,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0
6,0,True,38.349718460127114,"[0.0, -2.0, 8.0, 24.0, -24.0, -4.0, -4.0, 24.0, -24.0, -2.0, -4.0, 48.0, -24.0]",116491454106625506,7,-2.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,MainExperiment_participants_random_effects,20,91,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0
6,0,True,38.349718460127114,"[0.0, -2.0, 8.0, 24.0, -24.0, -4.0, -4.0, 24.0, -24.0, -2.0, -4.0, 48.0, -24.0]",116491454106625506,11,-4.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,MainExperiment_participants_random_effects,20,91,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0
6,0,True,38.349718460127114,"[0.0, -2.0, 8.0, 24.0, -24.0, -4.0, -4.0, 24.0, -24.0, -2.0, -4.0, 48.0, -24.0]",116491454106625506,4,-1.4142135623730951,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,MainExperiment_participants_random_effects,20,91,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0
6,0,True,38.349718460127114,"[0.0, -2.0, 8.0, 24.0, -24.0, -4.0, -4.0, 24.0, -24.0, -2.0, -4.0, 48.0, -24.0]",116491454106625506,13,48.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,MainExperiment_participants_random_effects,20,91,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0
10,1,True,18.862885479621973,"[0.0, -2.0, 8.0, -24.0, -24.0, -2.0, 4.0, -48.0, 24.0, -4.0, -8.0, 48.0, -48.0]",5441343193922839396,4,-2.23606797749979,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,MainExperiment_participants_random_effects,20,91,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0
10,1,True,18.862885479621973,"[0.0, -2.0, 8.0, -24.0, -24.0, -2.0, 4.0, -48.0, 24.0, -4.0, -8.0, 48.0, -48.0]",5441343193922839396,7,-3.1622776601683795,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,MainExperiment_participants_random_effects,20,91,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0
10,1,True,18.862885479621973,"[0.0, -2.0, 8.0, -24.0, -24.0, -2.0, 4.0, -48.0, 24.0, -4.0, -8.0, 48.0, -48.0]",5441343193922839396,8,-2.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,MainExperiment_participants_random_effects,20,91,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0
10,1,True,18.862885479621973,"[0.0, -2.0, 8.0, -24.0, -24.0, -2.0, 4.0, -48.0, 24.0, -4.0, -8.0, 48.0, -48.0]",5441343193922839396,3,-3.1622776601683795,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,MainExperiment_participants_random_effects,20,91,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0
10,1,True,18.862885479621973,"[0.0, -2.0, 8.0, -24.0, -24.0, -2.0, 4.0, -48.0, 24.0, -4.0, -8.0, 48.0, -48.0]",5441343193922839396,11,-3.1622776601683795,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,MainExperiment_participants_random_effects,20,91,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0
