n_steps,i_episode,finished,return,ground_truth,trial_id,actions,rewards,sim_policy,sim_experiment_setting,sim_cost_function,sim_bmps_file,sim_parameter_file,sim_num_trials,sim_seed,sim_forw_added_cost,sim_back_added_cost,sim_given_cost,sim_distance_multiplier,sim_depth_cost_weight,sim_temp,sim_kappa,sim_gamma,sim_noise,pid
6,0,True,34.349718460127114,"[0.0, 4.0, 8.0, 24.0, 48.0, -4.0, 8.0, -48.0, -48.0, -2.0, -8.0, 24.0, -48.0]",-2596340847510945257,8,-3.23606797749979,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_back_added_cost,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
6,0,True,34.349718460127114,"[0.0, 4.0, 8.0, 24.0, 48.0, -4.0, 8.0, -48.0, -48.0, -2.0, -8.0, 24.0, -48.0]",-2596340847510945257,7,-3.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_back_added_cost,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
6,0,True,34.349718460127114,"[0.0, 4.0, 8.0, 24.0, 48.0, -4.0, 8.0, -48.0, -48.0, -2.0, -8.0, 24.0, -48.0]",-2596340847510945257,11,-5.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_back_added_cost,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
6,0,True,34.349718460127114,"[0.0, 4.0, 8.0, 24.0, 48.0, -4.0, 8.0, -48.0, -48.0, -2.0, -8.0, 24.0, -48.0]",-2596340847510945257,4,-2.414213562373095,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_back_added_cost,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
6,0,True,34.349718460127114,"[0.0, 4.0, 8.0, 24.0, 48.0, -4.0, 8.0, -48.0, -48.0, -2.0, -8.0, 24.0, -48.0]",-2596340847510945257,13,48.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_back_added_cost,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
8,1,True,2.277099041995072,"[0.0, 4.0, -8.0, -24.0, -24.0, -4.0, 8.0, -24.0, 24.0, -2.0, -8.0, -48.0, -48.0]",3457294074559537391,4,-3.23606797749979,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_back_added_cost,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
8,1,True,2.277099041995072,"[0.0, 4.0, -8.0, -24.0, -24.0, -4.0, 8.0, -24.0, 24.0, -2.0, -8.0, -48.0, -48.0]",3457294074559537391,7,-4.16227766016838,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_back_added_cost,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
8,1,True,2.277099041995072,"[0.0, 4.0, -8.0, -24.0, -24.0, -4.0, 8.0, -24.0, 24.0, -2.0, -8.0, -48.0, -48.0]",3457294074559537391,8,-3.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_back_added_cost,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
8,1,True,2.277099041995072,"[0.0, 4.0, -8.0, -24.0, -24.0, -4.0, 8.0, -24.0, 24.0, -2.0, -8.0, -48.0, -48.0]",3457294074559537391,3,-4.16227766016838,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_back_added_cost,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
8,1,True,2.277099041995072,"[0.0, 4.0, -8.0, -24.0, -24.0, -4.0, 8.0, -24.0, 24.0, -2.0, -8.0, -48.0, -48.0]",3457294074559537391,11,-4.16227766016838,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_back_added_cost,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
8,1,True,2.277099041995072,"[0.0, 4.0, -8.0, -24.0, -24.0, -4.0, 8.0, -24.0, 24.0, -2.0, -8.0, -48.0, -48.0]",3457294074559537391,12,-3.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_back_added_cost,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
8,1,True,2.277099041995072,"[0.0, 4.0, -8.0, -24.0, -24.0, -4.0, 8.0, -24.0, 24.0, -2.0, -8.0, -48.0, -48.0]",3457294074559537391,13,24.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_back_added_cost,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
