n_steps,i_episode,finished,return,ground_truth,trial_id,actions,rewards,sim_policy,sim_experiment_setting,sim_cost_function,sim_bmps_file,sim_parameter_file,sim_num_trials,sim_seed,sim_forw_added_cost,sim_back_added_cost,sim_given_cost,sim_distance_multiplier,sim_depth_cost_weight,sim_temp,sim_kappa,sim_gamma,sim_noise,pid
5,0,True,27.76393202250021,"[0.0, 2.0, 4.0, 24.0, 48.0, 2.0, -4.0, -24.0, -48.0, -2.0, -8.0, 48.0, -48.0]",-7082365920985033127,8,-6.23606797749979,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,"participants_gamma,given_cost,kappa",20,91,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
5,0,True,27.76393202250021,"[0.0, 2.0, 4.0, 24.0, 48.0, 2.0, -4.0, -24.0, -48.0, -2.0, -8.0, 48.0, -48.0]",-7082365920985033127,7,-6.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,"participants_gamma,given_cost,kappa",20,91,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
5,0,True,27.76393202250021,"[0.0, 2.0, 4.0, 24.0, 48.0, 2.0, -4.0, -24.0, -48.0, -2.0, -8.0, 48.0, -48.0]",-7082365920985033127,11,-8.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,"participants_gamma,given_cost,kappa",20,91,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
5,0,True,27.76393202250021,"[0.0, 2.0, 4.0, 24.0, 48.0, 2.0, -4.0, -24.0, -48.0, -2.0, -8.0, 48.0, -48.0]",-7082365920985033127,13,48.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,"participants_gamma,given_cost,kappa",20,91,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
3,1,True,41.763932022500214,"[0.0, -2.0, -4.0, 24.0, 24.0, 4.0, 8.0, -24.0, 48.0, -4.0, -8.0, -48.0, 24.0]",-1753498256348083523,8,-6.23606797749979,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,"participants_gamma,given_cost,kappa",20,91,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
3,1,True,41.763932022500214,"[0.0, -2.0, -4.0, 24.0, 24.0, 4.0, 8.0, -24.0, 48.0, -4.0, -8.0, -48.0, 24.0]",-1753498256348083523,13,48.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,"participants_gamma,given_cost,kappa",20,91,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
5,2,True,29.187440799958736,"[0.0, -4.0, -4.0, 48.0, -48.0, -2.0, -8.0, 48.0, 48.0, -4.0, -4.0, -48.0, 48.0]",7160689332333860190,4,-6.23606797749979,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,"participants_gamma,given_cost,kappa",20,91,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
5,2,True,29.187440799958736,"[0.0, -4.0, -4.0, 48.0, -48.0, -2.0, -8.0, 48.0, 48.0, -4.0, -4.0, -48.0, 48.0]",7160689332333860190,11,-5.414213562373095,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,"participants_gamma,given_cost,kappa",20,91,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
5,2,True,29.187440799958736,"[0.0, -4.0, -4.0, 48.0, -48.0, -2.0, -8.0, 48.0, 48.0, -4.0, -4.0, -48.0, 48.0]",7160689332333860190,3,-7.16227766016838,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,"participants_gamma,given_cost,kappa",20,91,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
5,2,True,29.187440799958736,"[0.0, -4.0, -4.0, 48.0, -48.0, -2.0, -8.0, 48.0, 48.0, -4.0, -4.0, -48.0, 48.0]",7160689332333860190,13,48.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,"participants_gamma,given_cost,kappa",20,91,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
7,3,True,15.877582505127535,"[0.0, 2.0, -4.0, -24.0, -24.0, -4.0, 4.0, 24.0, -48.0, 4.0, 8.0, 48.0, 48.0]",-4250475312149299523,4,-6.23606797749979,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,"participants_gamma,given_cost,kappa",20,91,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
7,3,True,15.877582505127535,"[0.0, 2.0, -4.0, -24.0, -24.0, -4.0, 4.0, 24.0, -48.0, 4.0, 8.0, 48.0, 48.0]",-4250475312149299523,3,-6.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,"participants_gamma,given_cost,kappa",20,91,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
7,3,True,15.877582505127535,"[0.0, 2.0, -4.0, -24.0, -24.0, -4.0, 4.0, 24.0, -48.0, 4.0, 8.0, 48.0, 48.0]",-4250475312149299523,7,-5.414213562373095,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,"participants_gamma,given_cost,kappa",20,91,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
