trace_pid,$w_{back.}$ with $\beta$,"$w_{back.}, w_{depth}$ with $\beta$","$w_{back.}, w_{depth}, w_{dist.}$ with $\beta$","$w_{back.}, w_{depth}, w_{dist.}, w_{eff.}$ with $\beta$","$w_{back.}, w_{depth}, w_{dist.}, w_{forw.}$ with $\beta$","$w_{back.}, w_{depth}, w_{dist.}, w_{forw.}, w_{eff.}$ with $\beta$","$w_{back.}, w_{depth}, w_{eff.}$ with $\beta$","$w_{back.}, w_{depth}, w_{forw.}$ with $\beta$","$w_{back.}, w_{depth}, w_{forw.}, w_{eff.}$ with $\beta$","$w_{back.}, w_{dist.}$ with $\beta$","$w_{back.}, w_{dist.}, w_{eff.}$ with $\beta$","$w_{back.}, w_{dist.}, w_{forw.}$ with $\beta$","$w_{back.}, w_{dist.}, w_{forw.}, w_{eff.}$ with $\beta$","$w_{back.}, w_{eff.}$ with $\beta$","$w_{back.}, w_{forw.}$ with $\beta$","$w_{back.}, w_{forw.}, w_{eff.}$ with $\beta$",$w_{depth}$ with $\beta$,"$w_{depth}, w_{dist.}$ with $\beta$","$w_{depth}, w_{dist.}, w_{eff.}$ with $\beta$","$w_{depth}, w_{dist.}, w_{forw.}$ with $\beta$","$w_{depth}, w_{dist.}, w_{forw.}, w_{eff.}$ with $\beta$","$w_{depth}, w_{eff.}$ with $\beta$","$w_{depth}, w_{forw.}$ with $\beta$","$w_{depth}, w_{forw.}, w_{eff.}$ with $\beta$",$w_{dist.}$ with $\beta$,"$w_{dist.}, w_{eff.}$ with $\beta$","$w_{dist.}, w_{forw.}$ with $\beta$","$w_{dist.}, w_{forw.}, w_{eff.}$ with $\beta$",$w_{eff.}$ with $\beta$,$w_{forw.}$ with $\beta$,"$w_{forw.}, w_{eff.}$ with $\beta$",Null (Given Costs) with $\beta$
1723,-144.28794424241676,-144.50784674965496,-133.90878065124338,-130.3239439264944,-136.21136574423744,-132.62652901948843,-140.34474060004413,-140.54422353726858,-140.3039395691407,-131.60619555824934,-128.02135883350033,-133.90878065124338,-130.3239439264944,-145.8055889762986,-138.24163844427454,-138.00135447614664,-145.91718812069362,-131.8164854484183,-129.84095752573756,-134.11907054141233,-132.1435426187316,-147.08324441508245,-146.51743888980937,-148.8200239828034,-129.51390035542423,-127.53837243274351,-131.8164854484183,-129.84095752573756,-144.7806593220884,-144.21485379681533,-146.51743888980937,-146.26739596554722
1731,-116.29320369132687,-98.71882010391494,-100.83587335621355,-100.20294966695683,-101.45438601755103,-102.32000291925546,-98.0858964146582,-99.3373327652524,-100.20294966695683,-101.27135268728756,-98.0858964146582,-100.11635204353836,-100.20294966695683,-95.96884316235958,-97.99929879123974,-98.0858964146582,-104.07542194525765,-104.08839437303294,-98.77040844454035,-104.31892556632535,-100.88746169683898,-96.65335519224172,-105.94611996394852,-98.77040844454035,-101.97134112073431,-96.65335519224172,-102.20187231402673,-98.77040844454035,-94.5363019399431,-110.70683256251515,-96.65335519224172,-122.4226660564965
1737,-211.59782425590325,-208.3749828149693,-201.2812332249619,-203.4117288396863,-203.5084068730887,-205.63890248781308,-209.72886763845193,-210.60215646309604,-211.95604128657868,-201.76217022220197,-203.69821285372325,-203.98934387032872,-205.92538650185003,-212.71715478546142,-213.61472913660594,-214.76543092738987,-206.14780916684253,-199.05405957683516,-201.18455519155955,-201.2812332249619,-203.4117288396863,-207.50169399032518,-208.3749828149693,-209.72886763845193,-199.53499657407522,-201.4710392055965,-201.76217022220197,-203.69821285372325,-210.48998113733467,-211.3875554884792,-212.53825727926312,-209.3706506077765
1754,-134.76398081182248,-113.85959945824148,-104.2636213208515,-101.40924039428792,-104.0100443918998,-103.55447011486211,-110.81805388465862,-113.99042336008746,-112.96328360523282,-102.1183916002773,-99.26401067371373,-101.8648146713256,-101.40924039428792,-108.67282416408443,-117.31580462870589,-110.81805388465862,-115.45420083242506,-102.75224026421895,-99.26401067371373,-102.84217642957529,-101.40924039428792,-108.67282416408443,-116.63847053599179,-110.81805388465862,-100.60701054364475,-97.11878095313953,-100.6969467090011,-99.26401067371373,-106.52759444351022,-124.98165117607978,-108.67282416408443,-136.93599971144687
1762,-87.49754683174052,-89.69027739141809,-79.31279035959459,-81.51001493693082,-80.99251208700782,-83.18973666434404,-91.88750193158255,-91.8875019303748,-94.08472650771103,-77.11556578225837,-79.31279035959459,-78.7952875096716,-80.99251208700782,-89.69027735424633,-89.69027735303858,-91.8875019303748,-87.49305293784553,-79.8428852636904,-80.92535942353682,-82.04010984102662,-83.12258400087305,-89.69027735535737,-89.69027751518175,-91.88750193120808,-77.64566068635419,-78.7281348462006,-79.8428852636904,-80.92535942353682,-87.49305277802115,-87.4957765997422,-89.69027735387186,-85.30395305373791
2210,-296.3578171338666,-276.97238093795585,-278.1607260764773,-278.6308677899312,-279.077277301254,-279.9796030629859,-277.78165106140307,-277.46503646438936,-277.80896656470924,-291.6409148502023,-293.77272767950285,-282.78091637114824,-284.14970948799424,-298.2015666842384,-296.7208452194618,-298.63143207591395,-274.54636580599606,-275.7347109445175,-276.2048526579714,-276.6512621692942,-277.55358793102613,-275.3556359294432,-275.0390213324295,-275.38295143274945,-289.2148997182425,-291.346712547543,-280.3549012391884,-281.72369435603446,-295.7755515522786,-294.294830087502,-296.2054169439541,-293.93180200190676
2211,-130.78375004131152,-118.71775265591685,-120.91497723325307,-123.1122018105893,-123.1122018105893,-125.30942638792551,-120.91497723325307,-120.91497723325307,-123.1122018105893,-119.1236483919562,-121.32087296929241,-121.32087296929241,-123.51809754662864,-121.29733104576458,-120.61429663669713,-121.70964203816823,-121.70939160021176,-120.10826126442574,-122.30548584176195,-122.30548584176195,-124.50271041909818,-123.29362386264702,-123.90661617754797,-124.12675142278817,-117.91103668708952,-120.10826126442574,-120.10826126442574,-122.30548584176195,-121.09639928531081,-130.884601822736,-121.92952684545196,-134.64420845132076
2212,-129.93320518113927,-109.45973605911809,-104.7397540601579,-107.02192815589183,-106.24581178373028,-108.52798587946418,-108.15918640951011,-108.15950420729983,-110.44136050524403,-102.45757996442399,-104.7397540601579,-103.96363768799635,-106.24581178373028,-105.87701231377619,-105.92300111137106,-108.15918640951011,-107.19156661625823,-105.61800410858379,-106.96417190868355,-107.90017820431771,-109.24634600441748,-105.87701231377619,-105.92411365131225,-108.15918640951011,-103.33583001284987,-104.68199781294963,-105.61800410858379,-106.96417190868355,-103.59483821804227,-121.0903710588994,-105.87701231377619,-135.77029981989176
2213,-182.85372545617574,-173.03901765054425,-149.49679249335625,-147.61365009966445,-151.82377266843503,-147.51170640539056,-169.1209528537543,-169.40246241340458,-168.54930701790192,-147.1698123182775,-145.28666992458568,-149.49679249335625,-145.18472623031178,-180.46004122374046,-167.07548223832583,-166.22232684282315,-172.13074545729532,-147.1698123182775,-145.28666992458568,-149.49679249335625,-145.33539760022464,-173.61774281826607,-173.99109874132054,-175.9447229933448,-144.84283214319873,-142.95968974950694,-147.1698123182775,-143.00841742514586,-178.1330610486617,-171.66411856624177,-173.99109874132054,-183.31405106088593
2215,-129.0274072570189,-121.73187437485228,-120.09413832751932,-122.35503261604384,-122.35503261604384,-123.90928357067989,-123.29702034808531,-123.07371513776039,-125.33460942628491,-117.8332440389948,-120.09413832751932,-120.09413832751932,-121.64838928215536,-121.8619607906612,-120.81282084923588,-123.07371513776039,-129.13345594759753,-121.2788212734325,-123.53971556195702,-123.53971556195702,-125.80060985048154,-127.49139054585036,-131.39435023612202,-129.75228483437488,-119.01792698490797,-121.2788212734325,-121.2788212734325,-123.53971556195702,-125.23049625732584,-134.5143491299142,-127.49139054585036,-137.2999856501191
2216,-278.90146033349845,-274.27144105344775,-263.2914814772289,-264.48470812859233,-265.19028969554824,-266.5251360207121,-275.6184172037114,-275.5086244743828,-277.5295787753063,-261.1284893725376,-262.49471111366796,-262.86004720070594,-264.13139014932113,-280.63192433476735,-280.3586551500352,-281.45222426357657,-271.8776951820567,-260.89773560583785,-262.0909622572013,-262.7965438241572,-264.13139014932113,-273.2246713323204,-273.11487860299184,-275.13583290391523,-258.7347435011466,-260.10096524227697,-260.4663013293149,-261.7376442779301,-278.2381784633763,-277.97793939898213,-279.0584783921856,-276.50771446210746
