Number,Measure,Preamble,Question,Options,Randomize,ReverseCoded,id,Scoring,Part1,Part2,OnePart,OnePartLatex,subscale
1,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,Unforeseen events upset me greatly.,Not at all characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me,false,0,ius.1,1;2;3;4;5,0,1,1,1,
2,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,It frustrates me not having all the information I need.,Not at all characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me,false,0,ius.2,1;2;3;4;5,0,1,1,1,
3,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,Uncertainty keeps me from living a full life.,Not at all characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me,false,0,ius.3,1;2;3;4;5,0,1,1,1,
4,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,One should always look ahead so as to avoid surprises.,Not at all characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me,false,0,ius.4,1;2;3;4;5,0,1,1,1,
5,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,"A small unforeseen event can spoil everything, even with the best of planning.",Not at all characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me,false,0,ius.5,1;2;3;4;5,0,1,1,1,
6,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,"When it's time to act, uncertainty paralyses me.",Not at all characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me,false,0,ius.6,1;2;3;4;5,0,1,1,1,
7,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,When I am uncertain I can't function very well.,Not at all characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me,false,0,ius.7,1;2;3;4;5,0,1,1,1,
8,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,I always want to know what the future has in store for me.,Not at all characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me,false,0,ius.8,1;2;3;4;5,0,1,1,1,
9,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,I can't stand being taken by surprise.,Not at all characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me,false,0,ius.9,1;2;3;4;5,0,1,1,1,
10,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,The smallest doubt can stop me from acting.,Not at all characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me,false,0,ius.10,1;2;3;4;5,0,1,1,1,
