,pid,trial_index,action_times,actions,block,path,queries,rewards,rt,condition,bonus,score,simulation_mode,state_rewards,time_elapsed,trial_time,trial_type,run,trial_id,num_nodes,num_early,num_middle,num_late,num_clicks
0,2,0,"[14076, 14776, 15672]","['up', 'up', 'right']",training,"['1', '2', '3']","{'click': {'state': {'target': ['1', '5', '9', '2', '10', '3', '4'], 'time': [3011, 4642, 5242, 7834, 8722, 10578, 11418]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['0', '1', '5', '0', '9', '0', '2', '10', '3', '4'], 'time': [2311, 2626, 4379, 4995, 5064, 6581, 7035, 8516, 10201, 11220]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '1', '5', '0', '9', '0', '1', '2', '10', '2', '2', '3', '2', '4'], 'time': [2494, 4328, 4963, 5012, 5881, 6964, 7014, 8015, 9217, 9967, 10118, 10935, 11168, 12186]}, 'edge': {'target': [], 'time': []}}}","[10, 5, 5]","[74560.77499999992, 25930.409999999945, 14074.179999999615]",2,0,13,"[None, None, None]","['', 10, 5, 5, -10, -10, 10, 5, 5, 10, -5, -10, -10]",74562,[],mouselab-mdp,c1.1,2677707256680226296,7,0,0,0,0
1,2,1,"[8798, 9430, 10046]","['right', 'right', 'down']",training,"['5', '6', '8']","{'click': {'state': {'target': ['9', '1', '5', '6', '10', '8', '7'], 'time': [1616, 2128, 2800, 5560, 6280, 7248, 7720]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '9', '1', '5', '6', '10', '10', '8', '7'], 'time': [None, 1326, 1909, 2459, 5314, 5780, 6114, 7064, 7582]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['1', '9', '1', '5', '6', '5', '10', '10', '8', '6', '7', '9', '10'], 'time': [1108, 1775, 2361, 3428, 5679, 5712, 5829, 6715, 7382, 7431, 14823, 15157, 15174]}, 'edge': {'target': [], 'time': []}}}","[10, 10, 5]","[202.09500000010303, 398.11000000010245, 8796.929999999964]",2,0.54,18,"[None, None, None]","['', -10, -10, -10, 10, 10, 10, -10, 5, 5, -10, -5, 10]",100499,[],mouselab-mdp,c1.1,-6295193560893533809,7,0,0,0,0
2,2,2,"[21445, 22332, 23173]","['up', 'up', 'right']",training,"['1', '2', '3']","{'click': {'state': {'target': ['9', '1', '5', '10', '11', '12', '2', '4', '3', '6', '7', '8'], 'time': [1839, 2487, 2879, 5023, 6439, 7086, 13359, 15151, 15942, 19078, 19862, 20206]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['9', '1', '5', '0', '10', '11', '12', '4', '2', '4', '3', '7', '6', '7', '8'], 'time': [1405, 2289, 2723, 4341, 4657, 5742, 6743, 10381, 13117, 13918, 15803, 18357, 18805, 19690, 20058]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['9', '1', '5', '0', '9', '10', '11', '10', '12', '9', '4', '2', '4', '2', '3', '7', '6', '7', '6', '8'], 'time': [2256, 2657, 4292, 4375, 4491, 5677, 6627, 6677, 7828, 10048, 13033, 13834, 15386, 15486, 16521, 18773, 19641, 19991, 20041, 24829]}, 'edge': {'target': [], 'time': []}}}","[-10, 10, 10]","[127.31999999959953, 125.8499999998894, 21444.010000000155]",2,[],-2,"[None, None, None]","['', -10, 10, 10, 5, -10, -10, 10, 5, -5, 5, 10, -10]",118575,[],mouselab-mdp,c1.1,5437414725336129514,12,0,0,0,0
3,2,3,"[39393, 40807, 41423]","['up', 'up', 'right']",training,"['1', '2', '3']","{'click': {'state': {'target': ['1', '9', '5', '6', '10', '2', '4', '3', '7', '8', '11', '12'], 'time': [17991, 18748, 19228, 22337, 22977, 23672, 25975, 26638, 27862, 28566, 29421, 30141]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['5', '0', '1', '9', '0', '5', '6', '0', '10', '2', '4', '3', '7', '8', '0', '11', '11', '12'], 'time': [17639, 17722, 17839, 18456, 18955, 19039, 20772, 22573, 22657, 23456, 24591, 26391, 27158, 28308, 28993, 29043, 29260, 30044]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['5', '0', '1', '9', '0', '5', '6', '5', '0', '9', '10', '2', '4', '2', '3', '7', '6', '8', '0', '9', '11', '11', '10', '12'], 'time': [17671, 17739, 18372, 18923, 19005, 19538, 22523, 22556, 22590, 22640, 23391, 24508, 26224, 26357, 27092, 28259, 28292, 28944, 29010, 29027, 29177, 29526, 29593, 30328]}, 'edge': {'target': [], 'time': []}}}","[5, -10, -5]","[388.554999999993, 344.39500000007683, 39406.28999999989]",2,[],-22,"[None, None, None]","['', 5, -10, -5, -10, 5, -10, -5, -10, 5, -10, -5, -5]",143838,[],mouselab-mdp,c1.1,-3161758675468624755,12,0,0,0,0
4,2,4,"[10150, 10902, 11550]","['up', 'up', 'right']",training,"['1', '2', '3']","{'click': {'state': {'target': ['1', '9', '5', '2', '6', '4', '3'], 'time': [1177, 1625, 2040, 3128, 3857, 5416, 8591]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['0', '0', '1', '9', '0', '5', '2', '6', '4', '3', '3'], 'time': [716, 748, 933, 1449, 1866, 1901, 2951, 3685, 5086, 6137, 8391]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '0', '1', '9', '0', '5', '1', '2', '6', '1', '4', '2', '3', '6', '6', '3', '3'], 'time': [733, 765, 1367, 1818, 1884, 2283, 2819, 3285, 4753, 4853, 5787, 5887, 7372, 7638, 8322, 12544, 12628]}, 'edge': {'target': [], 'time': []}}}","[10, -10, 10]","[921.4849999998405, 119.80499999981839, 10150.2899999996]",2,[],3,"[None, None, None]","['', 10, -10, 10, 5, 5, -10, -10, 10, -10, -5, 5, 10]",174046,[],mouselab-mdp,c1.1,-7479633459398711011,7,0,0,0,0
5,2,5,"[7993, 8648, 9320]","['left', 'left', 'up']",training,"['9', '10', '11']","{'click': {'state': {'target': ['9', '1', '5', '10', '11'], 'time': [1179, 1674, 2058, 4562, 6386]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['9', '1', '5', '0', '10', '11', '12'], 'time': [986, 1536, 1937, 3572, 3656, 5858, 6859]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['9', '1', '5', '0', '9', '10', '11', '10', '12'], 'time': [1337, 1838, 3556, 3606, 3639, 5625, 6726, 6826, 10547]}, 'edge': {'target': [], 'time': []}}}","[-5, 10, 10]","[257.20000000001164, 155.15999999977066, 7991.619999999792]",2,[],10,"[None, None, None]","['', -10, -10, 5, -10, -10, 5, -10, -10, -5, 10, 10, 5]",218284,[],mouselab-mdp,c1.1,-145900735877221312,5,0,0,0,0
6,2,6,"[6891, 7874, 8482]","['up', 'up', 'left']",training,"['1', '2', '4']","{'click': {'state': {'target': ['9', '1', '5', '2', '4', '3'], 'time': [1181, 1620, 2068, 4196, 5012, 5412]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['9', '1', '5', '4', '2', '4', '3'], 'time': [1027, 1511, 1911, 3329, 3980, 4863, 5264]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['9', '1', '5', '1', '4', '2', '4', '2', '3', '5'], 'time': [1360, 1811, 2761, 2829, 3897, 4814, 5164, 5248, 11104, 11188]}, 'edge': {'target': [], 'time': []}}}","[10, -5, 10]","[152.52000000007683, 173.65999999991618, 6889.5299999999115]",2,[],9,"[None, None, None]","['', 10, -5, -5, 10, 5, -5, -10, 10, 5, 10, -5, 10]",232553,[],mouselab-mdp,c1.1,1017601537737615534,6,0,0,0,0
7,2,7,"[13505, 14176, 14800]","['up', 'up', 'left']",training,"['1', '2', '4']","{'click': {'state': {'target': ['9', '1', '5', '7', '8', '6', '3', '4'], 'time': [5788, 6218, 6938, 8170, 8682, 9530, 11594, 12066]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['9', '10', '9', '1', '5', '6', '7', '6', '8', '6', '3', '2', '4'], 'time': [4200, 5000, 5250, 6001, 6752, 7686, 7987, 8338, 8369, 9271, 11457, 11774, 11873]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['9', '10', '9', '1', '5', '6', '7', '6', '8', '6', '5', '3', '2', '4', '0'], 'time': [4749, 5234, 5900, 6419, 7637, 7936, 8320, 8353, 9237, 10305, 11156, 11757, 11824, 16430, 16528]}, 'edge': {'target': [], 'time': []}}}","[5, -5, 10]","[488.85000000018044, 113.06500000000233, 13503.535000000265]",2,[],2,"[None, None, None]","['', 5, -5, 5, 10, 10, -10, -5, -5, 5, -10, 5, 10]",244552,[],mouselab-mdp,c1.1,287659273517348342,8,0,0,0,0
8,2,8,"[12470, 13157, 13773]","['up', 'up', 'left']",training,"['1', '2', '4']","{'click': {'state': {'target': ['9', '1', '5', '7', '8', '3', '4'], 'time': [6473, 7047, 7695, 8967, 9367, 10943, 11318]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['5', '5', '9', '1', '5', '7', '6', '8', '6', '3', '2', '4'], 'time': [966, 1048, 6270, 6872, 7656, 8640, 9107, 9157, 9793, 10809, 11093, 11143]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['5', '5', '9', '1', '5', '5', '7', '6', '8', '6', '3', '2', '4', '0'], 'time': [998, 1065, 6821, 7238, 8199, 8573, 9091, 9141, 9774, 10509, 11076, 11126, 15280, 15364]}, 'edge': {'target': [], 'time': []}}}","[-5, -5, 10]","[182.94500000000698, 121.89499999972759, 12468.899999999849]",2,[],-7,"[None, None, None]","['', -5, -5, 5, 10, 10, -10, -10, -10, -10, 10, 10, 10]",257887,[],mouselab-mdp,c1.1,3866759347579099958,7,0,0,0,0
9,2,9,"[11471, 12062, 12686]","['right', 'right', 'up']",training,"['5', '6', '7']","{'click': {'state': {'target': ['12', '11', '5', '9', '1', '8', '7'], 'time': [1809, 2312, 4464, 5296, 5744, 7824, 8616]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['10', '12', '10', '11', '10', '9', '0', '5', '6', '5', '0', '9', '1', '8', '6', '7', '7'], 'time': [1336, 1587, 1986, 2186, 3221, 3488, 3638, 3722, 4022, 4322, 4739, 5057, 5623, 7642, 7976, 8010, 8476]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['10', '12', '10', '11', '10', '9', '0', '5', '6', '5', '0', '9', '1', '5', '8', '6', '7', '7', '7'], 'time': [1535, 1953, 2036, 3171, 3438, 3572, 3670, 3756, 4255, 4689, 4806, 5523, 7258, 7359, 7943, 7992, 8076, 14496, 14550]}, 'edge': {'target': [], 'time': []}}}","[10, 10, 10]","[194.17999999999302, 125.59499999997206, 11469.680000000168]",2,[],23,"[None, None, None]","['', 5, -10, 5, -5, 10, 10, 10, 10, 10, -10, -10, 5]",276151,[],mouselab-mdp,c1.1,-2168368636003987728,7,0,0,0,0
