,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,pid,run,CODE,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,final_bonus,displayed_bonus,time_diff
35,chrome,windows,en-US,0,0,irlexp10_1,2022-03-09 16:38:57.791309,2022-03-09 16:39:05.233082,2022-03-09 16:49:37.223798,0.0,3,live,2339,methods_main,hedgehog,0,0,7,1,Wed Mar 09 2022 11:39:01 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.45,3.45,10.65
36,chrome,windows,en-US,0,0,irlexp10_1,2022-03-09 16:35:35.374900,2022-03-09 16:35:40.710873,2022-03-09 16:47:45.597840,0.0,3,live,2336,methods_main,hedgehog,0,0,7,1,Wed Mar 09 2022 11:35:32 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.45,3.45,12.166666666666666
37,chrome,windows,en-US,0,0,irlexp10_1,2022-03-09 15:16:15.214871,2022-03-09 15:16:22.483329,2022-03-09 15:29:30.195007,0.0,3,live,2271,methods_main,hedgehog,0,0,7,1,Wed Mar 09 2022 10:16:16 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.37,3.37,13.233333333333333
38,chrome,windows,en-US,0,0,irlexp10_1,2022-03-09 14:58:21.080074,2022-03-09 15:01:53.905541,2022-03-09 15:11:40.609013,0.0,3,live,2221,methods_main,hedgehog,0,0,7,1,Wed Mar 09 2022 09:58:23 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.8,2.8,13.316666666666666
39,chrome,windows,en-US,0,0,irlexp10_1,2022-03-09 14:54:44.745413,2022-03-09 14:55:04.281281,2022-03-09 15:05:56.945212,0.0,3,live,2210,methods_main,hedgehog,0,0,7,1,Wed Mar 09 2022 09:54:48 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.66,2.66,11.2
40,chrome,windows,en-US,1,0,irlexp10_1,2022-03-09 16:52:09.420691,2022-03-09 16:52:21.448644,2022-03-09 17:03:49.618603,0.0,3,live,2347,methods_main,bighorn,0,0,7,1,Wed Mar 09 2022 08:52:12 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,1.11,1.11,11.666666666666666
41,chrome,windows,en-US,1,0,irlexp10_1,2022-03-09 15:11:52.531290,2022-03-09 15:13:52.592064,2022-03-09 15:28:34.146215,0.0,3,live,2272,methods_main,bighorn,0,0,7,1,Wed Mar 09 2022 10:11:53 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.44,3.44,16.683333333333334
43,chrome,windows,en-US,1,0,irlexp10_1,2022-03-09 14:54:48.518290,2022-03-09 14:57:16.736553,2022-03-09 15:08:08.216009,0.0,3,live,2223,methods_main,bighorn,0,0,7,1,Wed Mar 09 2022 07:54:52 GMT-0700 (Mountain Standard Time),0.002,2_4_24,312,2.55,2.55,13.316666666666666
44,chrome,macos,en-US,1,0,irlexp10_1,2022-03-09 14:53:15.011534,2022-03-09 14:53:24.361679,2022-03-09 15:07:33.382630,0.0,3,live,2224,methods_main,bighorn,0,0,7,1,Wed Mar 09 2022 09:53:16 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.46,3.46,14.3
46,chrome,windows,en-US,2,0,irlexp10_1,2022-03-09 17:04:34.893086,2022-03-09 17:07:08.165751,2022-03-09 17:20:17.045974,0.0,3,live,2348,methods_main,chinchilla,0,0,7,1,Wed Mar 09 2022 11:04:40 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.31,3.31,15.7
47,chrome,windows,en-US,2,0,irlexp10_1,2022-03-09 15:16:53.554517,2022-03-09 15:19:12.526765,2022-03-09 15:33:44.731925,0.0,3,live,2273,methods_main,chinchilla,0,0,7,1,Wed Mar 09 2022 10:16:57 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.24,3.24,16.85
49,chrome,windows,en-US,2,0,irlexp10_1,2022-03-09 14:55:35.220289,2022-03-09 14:55:45.980002,2022-03-09 15:08:02.742463,0.0,3,live,2226,methods_main,chinchilla,0,0,7,1,Wed Mar 09 2022 09:55:37 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.41,3.41,12.45
50,chrome,windows,en-US,3,0,irlexp10_1,2022-03-09 16:35:00.670239,2022-03-09 16:37:20.084355,2022-03-09 16:52:14.436434,0.0,3,live,2340,methods_main,porcupine,0,0,7,1,Wed Mar 09 2022 10:35:03 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.48,3.48,17.216666666666665
52,chrome,chromeos,en-US,3,0,irlexp10_1,2022-03-09 15:01:09.620889,2022-03-09 15:01:17.606225,2022-03-09 15:20:24.535118,0.0,3,live,2227,methods_main,porcupine,0,0,7,1,Wed Mar 09 2022 07:01:11 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,1.71,1.71,19.233333333333334
