success,trial_type,time_elapsed,internal_node_id,view_history,rt,responses,correct,pid,revealed_states,num_clicks_accrued,state_rewards,trial_id,block,trial_index,score,simulation_mode,rewards,path,actions,action_times,queries,displayed_time,trial_time,stimulus,button_pressed,run,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,CODE,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,final_bonus,displayed_bonus,time_diff,num_nodes,num_early,num_middle,num_late,num_clicks
,mouselab-mdp,339506.0,0.0-3.0-2.0-0.0,,"[1864, 111, 182]",,,2339,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', -4, -4, 48, -48, -2, -8, 48, 48, -4, -4, -48, 48]",7160689332333860190,test_begin,20.0,37.0,"[None, None, None]","[-2, -8, 48]","['5', '6', '7']","['right', 'right', 'up']","[2565, 3168, 3861]","{'click': {'state': {'target': ['7'], 'time': [1439]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['7'], 'time': [1163]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0'], 'time': [1113]}, 'edge': {'target': [], 'time': []}}}",8.7,9203.0,,,methods_main,chrome,windows,en-US,0,0,irlexp10_1,2022-03-09 16:38:57.791309,2022-03-09 16:39:05.233082,2022-03-09 16:49:37.223798,0.0,3,live,hedgehog,0,0,7,1,Wed Mar 09 2022 11:39:01 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.45,3.45,10.65,1,0,0,1,1
,mouselab-mdp,350838.0,0.0-3.0-2.0-1.0,,"[4251, 181, 304]",,,2339,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', 4, -8, -48, -24, -2, 8, 24, 48, -2, -8, -48, -24]",6562770673904911116,test_begin,21.0,50.0,"[None, None, None]","[-2, 8, 48]","['5', '6', '8']","['right', 'right', 'down']","[5522, 6210, 7018]","{'click': {'state': {'target': ['11', '12', '7', '8'], 'time': [2000, 2740, 3534, 4312]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['11', '10', '12', '5', '7', '6', '8'], 'time': [1853, 2438, 2487, 3189, 3288, 3993, 4024]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['7', '0', '11', '10', '12', '5', '7', '6'], 'time': [684, 1319, 2421, 2471, 3138, 3206, 3991, 4006]}, 'edge': {'target': [], 'time': []}}}",10.27,11257.0,,,methods_main,chrome,windows,en-US,0,0,irlexp10_1,2022-03-09 16:38:57.791309,2022-03-09 16:39:05.233082,2022-03-09 16:49:37.223798,0.0,3,live,hedgehog,0,0,7,1,Wed Mar 09 2022 11:39:01 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.45,3.45,10.65,4,0,0,4,4
,mouselab-mdp,368321.0,0.0-3.0-2.0-2.0,,"[13823, 124, 238]",,,2339,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', -2, -8, 24, 24, -2, -8, 24, -24, 4, -4, 24, -48]",7419235085028046283,test_begin,22.0,14.0,"[None, None, None]","[4, -4, 24]","['9', '10', '11']","['left', 'left', 'up']","[14677, 15308, 16037]","{'click': {'state': {'target': ['7', '8', '3', '4', '11', '12', '9', '10', '6', '2'], 'time': [1602, 2335, 3033, 3754, 4907, 5626, 10439, 10966, 12198, 13328]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['7', '6', '8', '3', '2', '2', '4', '11', '11', '10', '12', '9', '10', '0', '5', '6', '5', '1', '2', '1'], 'time': [1328, 2031, 2071, 2814, 3250, 3465, 3532, 4300, 4634, 5286, 5427, 9940, 10723, 11593, 11726, 11994, 12578, 12962, 13094, 13680]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['8', '0', '7', '6', '8', '3', '2', '2', '4', '11', '11', '10', '12', '9', '10', '9', '0', '5', '6', '5', '1', '2', '1'], 'time': [444, 560, 2014, 2047, 2730, 3198, 3264, 3482, 4100, 4366, 5202, 5425, 6068, 10590, 11509, 11576, 11627, 11860, 12528, 12911, 13046, 13597, 13962]}, 'edge': {'target': [], 'time': []}}}",16.54,17400.0,,,methods_main,chrome,windows,en-US,0,0,irlexp10_1,2022-03-09 16:38:57.791309,2022-03-09 16:39:05.233082,2022-03-09 16:49:37.223798,0.0,3,live,hedgehog,0,0,7,1,Wed Mar 09 2022 11:39:01 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.45,3.45,10.65,10,1,3,6,10
,mouselab-mdp,379974.0,0.0-3.0-2.0-3.0,,"[2621, 95, 91]",,,2339,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', -4, 8, -48, 48, 2, -4, 48, -48, 2, -8, 24, -48]",5258592950055133126,test_begin,23.0,50.0,"[None, None, None]","[-4, 8, 48]","['1', '2', '4']","['up', 'up', 'left']","[4256, 4847, 5447]","{'click': {'state': {'target': ['3', '4'], 'time': [2490, 3147]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['2', '3', '2', '4'], 'time': [2081, 2198, 2882, 3016]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['5', '5', '2', '3', '2', '4'], 'time': [645, 1097, 2182, 2664, 2914, 3367]}, 'edge': {'target': [], 'time': []}}}",10.63,11563.0,,,methods_main,chrome,windows,en-US,0,0,irlexp10_1,2022-03-09 16:38:57.791309,2022-03-09 16:39:05.233082,2022-03-09 16:49:37.223798,0.0,3,live,hedgehog,0,0,7,1,Wed Mar 09 2022 11:39:01 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.45,3.45,10.65,2,0,0,2,2
,mouselab-mdp,391805.0,0.0-3.0-2.0-4.0,,"[2651, 4, 97]",,,2339,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', -2, -4, 48, -48, 4, 8, 48, 24, 2, -4, -48, -24]",-6802951220459882826,test_begin,24.0,40.0,"[None, None, None]","[-2, -4, 48]","['1', '2', '3']","['up', 'up', 'right']","[3196, 3704, 4316]","{'click': {'state': {'target': ['4', '3'], 'time': [1515, 2131]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '4', '3'], 'time': [1046, 1335, 1928]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '1', '4', '3'], 'time': [946, 1229, 1761, 2314]}, 'edge': {'target': [], 'time': []}}}",9.55,11760.0,,,methods_main,chrome,windows,en-US,0,0,irlexp10_1,2022-03-09 16:38:57.791309,2022-03-09 16:39:05.233082,2022-03-09 16:49:37.223798,0.0,3,live,hedgehog,0,0,7,1,Wed Mar 09 2022 11:39:01 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.45,3.45,10.65,2,0,0,2,2
,mouselab-mdp,404754.0,0.0-3.0-2.0-5.0,,"[3490, 71, 232]",,,2339,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', 4, 4, -48, 24, -2, 4, 48, -24, 4, 4, -48, 48]",3911103627878725878,test_begin,25.0,47.0,"[None, None, None]","[-2, 4, 48]","['5', '6', '7']","['right', 'right', 'up']","[4232, 4804, 5532]","{'click': {'state': {'target': ['3', '4', '7'], 'time': [1481, 2130, 3139]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['3', '4', '7'], 'time': [1342, 1894, 2961]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '3', '4', '7', '7', '8'], 'time': [1009, 1659, 2420, 7100, 9589, 12343]}, 'edge': {'target': [], 'time': []}}}",8.74,12890.0,,,methods_main,chrome,windows,en-US,0,0,irlexp10_1,2022-03-09 16:38:57.791309,2022-03-09 16:39:05.233082,2022-03-09 16:49:37.223798,0.0,3,live,hedgehog,0,0,7,1,Wed Mar 09 2022 11:39:01 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.45,3.45,10.65,3,0,0,3,3
,mouselab-mdp,417056.0,0.0-3.0-2.0-6.0,,"[8287, 308, 221]",,,2339,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', -2, 4, 24, 24, 4, 8, -48, 24, -2, 8, -48, -24]",-9084254621569370087,test_begin,26.0,19.0,"[None, None, None]","[-2, 4, 24]","['1', '2', '4']","['up', 'up', 'left']","[9275, 10080, 10795]","{'click': {'state': {'target': ['3', '4', '11', '12', '7', '8', '2'], 'time': [2454, 3151, 3793, 4433, 5370, 5895, 7920]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['5', '3', '3', '4', '11', '10', '12', '6', '7', '6', '8', '5', '2'], 'time': [1609, 2026, 2293, 2944, 3586, 4080, 4163, 5063, 5097, 5531, 5699, 7282, 7644]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '5', '3', '3', '4', '11', '10', '12', '6', '7', '6', '8', '5', '2'], 'time': [1558, 1625, 2061, 2872, 3494, 4012, 4147, 4765, 5080, 5514, 5631, 6525, 7317, 8152]}, 'edge': {'target': [], 'time': []}}}",11.29,12224.0,,,methods_main,chrome,windows,en-US,0,0,irlexp10_1,2022-03-09 16:38:57.791309,2022-03-09 16:39:05.233082,2022-03-09 16:49:37.223798,0.0,3,live,hedgehog,0,0,7,1,Wed Mar 09 2022 11:39:01 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.45,3.45,10.65,7,0,1,6,7
,mouselab-mdp,427864.0,0.0-3.0-2.0-7.0,,"[1940, 101, 211]",,,2339,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', 2, 8, 48, 48, -4, -8, 24, 48, 4, 4, 48, 24]",461011171885628255,test_begin,27.0,57.0,"[None, None, None]","[2, 8, 48]","['1', '2', '3']","['up', 'up', 'right']","[3114, 3707, 4419]","{'click': {'state': {'target': ['3'], 'time': [1735]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['3', '2', '4'], 'time': [1585, 1870, 2020]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['5', '3', '2', '4'], 'time': [769, 1854, 1905, 2487]}, 'edge': {'target': [], 'time': []}}}",10.17,10742.0,,,methods_main,chrome,windows,en-US,0,0,irlexp10_1,2022-03-09 16:38:57.791309,2022-03-09 16:39:05.233082,2022-03-09 16:49:37.223798,0.0,3,live,hedgehog,0,0,7,1,Wed Mar 09 2022 11:39:01 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.45,3.45,10.65,1,0,0,1,1
,mouselab-mdp,439055.0,0.0-3.0-2.0-8.0,,"[3312, 43, 283]",,,2339,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', -2, 4, 24, -24, 4, -8, 24, -24, 4, -4, 48, -24]",624243419020886250,test_begin,28.0,45.0,"[None, None, None]","[4, -4, 48]","['9', '10', '11']","['left', 'left', 'up']","[4276, 4825, 5621]","{'click': {'state': {'target': ['3', '4', '11'], 'time': [1567, 2449, 3013]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['3', '2', '4', '4', '11', '10'], 'time': [1358, 1842, 1908, 2276, 2809, 3460]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['2', '1', '0', '3', '2', '4', '4', '11', '10', '9', '0'], 'time': [506, 590, 806, 1809, 1875, 2010, 2659, 3259, 3527, 7016, 10102]}, 'edge': {'target': [], 'time': []}}}",9.97,11124.0,,,methods_main,chrome,windows,en-US,0,0,irlexp10_1,2022-03-09 16:38:57.791309,2022-03-09 16:39:05.233082,2022-03-09 16:49:37.223798,0.0,3,live,hedgehog,0,0,7,1,Wed Mar 09 2022 11:39:01 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.45,3.45,10.65,3,0,0,3,3
,mouselab-mdp,449657.0,0.0-3.0-2.0-9.0,,"[1750, 10, 167]",,,2339,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', 4, -4, 24, -24, -2, -4, -24, -24, 2, -4, 48, 24]",1598574912455297978,test_begin,29.0,45.0,"[None, None, None]","[2, -4, 48]","['9', '10', '11']","['left', 'left', 'up']","[2505, 3012, 3688]","{'click': {'state': {'target': ['11'], 'time': [1348]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['11', '11', '10', '9'], 'time': [1132, 1231, 1831, 1900]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '11', '11', '10', '9'], 'time': [547, 1165, 1766, 1866, 4654]}, 'edge': {'target': [], 'time': []}}}",9.76,10551.0,,,methods_main,chrome,windows,en-US,0,0,irlexp10_1,2022-03-09 16:38:57.791309,2022-03-09 16:39:05.233082,2022-03-09 16:49:37.223798,0.0,3,live,hedgehog,0,0,7,1,Wed Mar 09 2022 11:39:01 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.45,3.45,10.65,1,0,0,1,1
