,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,pid,run,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,first_trial,colors,color_names,final_bonus,displayed_bonus,CODE,time_diff
1,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,1888,QuestPilot1,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.64,,,1.4333333333333333
3,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,1890,QuestPilot1,0,1,7,1,2020-10-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.16,,,55.11666666666667
4,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-07,2020-10-07,2020-10-07,0.0,5,live,1891,QuestPilot1,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",1.37,,,57.81666666666667
5,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-07,2020-10-07,2020-10-07,0.0,5,live,1892,QuestPilot1,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.72,,,21.116666666666667
9,chrome,macos,UNKNOWN,0,0,irlexp7_2,2020-10-07,2020-10-07,2020-10-07,0.0,5,live,1896,QuestPilot1,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.34,,,30.883333333333333
10,firefox,windows,UNKNOWN,0,0,irlexp7_2,2020-10-10,2020-10-10,2020-10-10,0.0,3,debug,1897,QuestPilot1,0,1,7,1,2020-10-09,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.99,,,32.25
12,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-09,2020-10-09,2020-10-09,0.0,3,debug,1899,QuestPilot1,0,1,7,1,2020-10-09,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.01,,,27.783333333333335
13,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-09,2020-10-09,,0.0,2,debug,1900,QuestPilot1,0,1,7,1,2020-10-09,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",1.75,,,
33,chrome,windows,UNKNOWN,0,0,irlexp7_3,2020-10-24,2020-10-24,2020-10-24,0.0,3,debug,1604,QuestPilot2,0,1,7,1,2020-10-24,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.01,4.01,hedgehog,29.7
34,chrome,windows,UNKNOWN,0,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1605,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.01,4.01,hedgehog,28.283333333333335
