,success,trial_type,time_elapsed,internal_node_id,view_history,rt,questions,responses,correct,name,reverse_coded,question_id,revealed_states,state_rewards,trial_id,block,trial_index,score,simulation_mode,rewards,path,actions,action_times,queries,displayed_time,trial_time,pid,button_pressed,run,stimulus,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,first_trial,colors,color_names,final_bonus,displayed_bonus,CODE,time_diff,num_nodes,num_early,num_middle,num_late,num_clicks
30,,mouselab-mdp,2589525.0,0.0-19.0-1.0-0.0,,"[88799, 1394, 823]",,,,,,,[],"['', -4, -8, -48, -48, -2, -8, -48, 48, -2, 4, -24, -24]",5130275037508485152,training,0.0,26.0,"[None, None, None]","[-2, -8, 48]","['5', '6', '8']","['right', 'right', 'down']","[94169, 96083, 97458]","{'click': {'state': {'target': ['5', '1', '9', '6', '7', '3', '2', '4', '11', '10', '12', '8'], 'time': [8043, 11449, 13785, 15844, 17627, 20420, 22232, 24599, 27110, 29272, 30680, 33725]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}",98.0,107590.0,1888,,QuestPilot1,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.64,,,1.4333333333333333,12,3,3,6,12
31,,mouselab-mdp,2629377.0,0.0-19.0-1.0-1.0,,"[24677, 433, 911]",,,,,,,[],"['', 2, 8, -48, -48, -4, 8, 24, 24, -2, 8, -24, 48]",-3235984444881886702,training,1.0,42.0,"[None, None, None]","[-2, 8, 48]","['9', '10', '12']","['left', 'left', 'down']","[29183, 30243, 31778]","{'click': {'state': {'target': ['1', '2', '3', '4', '5', '6', '8', '7', '12', '10', '11', '9'], 'time': [7151, 9254, 11006, 12683, 14474, 16306, 18054, 19370, 21198, 22374, 23431, 25845]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}",32.34,38527.0,1888,,QuestPilot1,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.64,,,1.4333333333333333,12,3,3,6,12
32,,mouselab-mdp,2666233.0,0.0-19.0-1.0-2.0,,"[21594, 229, 668]",,,,,,,[],"['', 2, 8, 48, -24, 2, 8, -24, 24, -4, -4, -48, 24]",-2410285785025730749,training,2.0,46.0,"[None, None, None]","[2, 8, 48]","['1', '2', '3']","['up', 'up', 'right']","[29507, 30649, 31878]","{'click': {'state': {'target': ['5', '6', '7', '8', '2', '3', '1', '4', '11', '10', '12', '9'], 'time': [10364, 12033, 13372, 14791, 17690, 18794, 20181, 21233, 22955, 24400, 25198, 26473]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}",32.47,35772.0,1888,,QuestPilot1,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.64,,,1.4333333333333333,12,3,3,6,12
33,,mouselab-mdp,2705854.0,0.0-19.0-1.0-3.0,,"[21601, 1030, 699]",,,,,,,[],"['', 2, -8, 24, 48, 4, 4, 48, 48, 2, -8, -48, -48]",7007154183592665262,training,3.0,45.0,"[None, None, None]","[4, 4, 48]","['5', '6', '8']","['right', 'right', 'down']","[32062, 33652, 34913]","{'click': {'state': {'target': ['6', '10', '2', '1', '5', '9', '3', '7', '8', '12', '4'], 'time': [12949, 14861, 16349, 17768, 18647, 20258, 21786, 23059, 24540, 26088, 27683]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}",35.53,38498.0,1888,,QuestPilot1,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.64,,,1.4333333333333333,11,3,3,5,11
34,,mouselab-mdp,2758778.0,0.0-19.0-1.0-4.0,,"[33393, 583, 395]",,,,,,,[],"['', -4, -4, 24, -24, -4, 4, 24, 24, 4, 4, 48, -48]",-7890144164692454837,training,4.0,44.0,"[None, None, None]","[4, 4, 48]","['9', '10', '11']","['left', 'left', 'up']","[45824, 46938, 48190]","{'click': {'state': {'target': ['6', '7', '8', '5', '3', '2', '4', '1', '9', '10', '11', '12'], 'time': [14010, 17510, 20808, 23166, 25256, 26229, 27089, 28247, 29300, 30112, 31005, 32059]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}",48.74,51759.0,1888,,QuestPilot1,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.64,,,1.4333333333333333,12,3,3,6,12
35,,mouselab-mdp,2805025.0,0.0-19.0-1.0-5.0,,"[22161, 791, 805]",,,,,,,[],"['', -2, -8, -48, 24, -4, -4, -24, -48, 2, -8, 24, 24]",8324563381047186377,training,5.0,6.0,"[None, None, None]","[2, -8, 24]","['9', '10', '11']","['left', 'left', 'up']","[33177, 34517, 35882]","{'click': {'state': {'target': ['6', '10', '11', '1', '7', '8', '5', '9', '12', '2', '3', '4'], 'time': [12702, 14524, 16321, 17986, 18946, 20113, 21508, 24426, 25202, 27191, 28284, 29172]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}",36.47,44875.0,1888,,QuestPilot1,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.64,,,1.4333333333333333,12,3,3,6,12
36,,mouselab-mdp,2841921.0,0.0-19.0-1.0-6.0,,"[19192, 327, 1059]",,,,,,,[],"['', -4, -4, -24, 24, -2, 4, 24, 24, 2, -8, 48, 48]",-3858448030437113662,training,6.0,30.0,"[None, None, None]","[2, -8, 48]","['9', '10', '11']","['left', 'left', 'up']","[27417, 28551, 30187]","{'click': {'state': {'target': ['6', '10', '9', '1', '5', '7', '8', '2', '3', '4', '11', '12'], 'time': [9929, 12971, 14613, 15779, 16870, 18107, 19137, 20583, 21631, 22399, 24517, 25545]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}",30.74,35819.0,1888,,QuestPilot1,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.64,,,1.4333333333333333,12,3,3,6,12
37,,mouselab-mdp,2876717.0,0.0-19.0-1.0-7.0,,"[20645, 1719, 704]",,,,,,,[],"['', -4, -4, -24, 24, -4, -8, -48, -48, 2, -4, -24, 24]",-5712514638697657456,training,7.0,10.0,"[None, None, None]","[2, -4, 24]","['9', '10', '12']","['left', 'left', 'down']","[27567, 29627, 30567]","{'click': {'state': {'target': ['6', '10', '2', '7', '8', '11', '12', '1', '9', '5', '3', '4'], 'time': [8643, 9857, 11012, 12803, 13905, 15236, 16314, 17581, 18429, 19351, 20217, 20973]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}",31.24,33705.0,1888,,QuestPilot1,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.64,,,1.4333333333333333,12,3,3,6,12
38,,mouselab-mdp,2912915.0,0.0-19.0-1.0-8.0,,"[18555, 3405, 2516]",,,,,,,[],"['', -2, 4, 24, -24, 4, -8, 24, -24, 4, -4, 48, -24]",624243419020886250,training,8.0,36.0,"[None, None, None]","[4, -4, 48]","['9', '10', '11']","['left', 'left', 'up']","[21881, 25845, 28929]","{'click': {'state': {'target': ['9', '1', '5', '6', '7', '8', '11', '12', '10', '4', '2', '3'], 'time': [5816, 6718, 7466, 8528, 9613, 10603, 12066, 13266, 14266, 15899, 16726, 17863]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}",29.47,35106.0,1888,,QuestPilot1,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.64,,,1.4333333333333333,12,3,3,6,12
39,,mouselab-mdp,2934948.0,0.0-19.0-1.0-9.0,,"[7589, 1653, 1015]",,,,,,,[],"['', -2, -4, 48, -48, 4, 8, 48, 24, 2, -4, -48, -24]",-6802951220459882826,training,9.0,55.0,"[None, None, None]","[4, 8, 48]","['5', '6', '7']","['right', 'right', 'up']","[11868, 14088, 15698]","{'click': {'state': {'target': ['1', '5', '6', '7', '8'], 'time': [6023, 6896, 7917, 8552, 9712]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}",16.25,20821.0,1888,,QuestPilot1,,chrome,windows,UNKNOWN,0,0,irlexp7_2,2020-10-08,2020-10-08,2020-10-08,0.0,5,live,0,1,7,1,2020-10-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.64,,,1.4333333333333333,5,2,1,2,5
