,pid,run,mouselab-quiz-post_Q0,mouselab-quiz-post_Q1,mouselab-quiz-post_Q2,mouselab-quiz-post_Q3,mouselab-quiz-post_Q4,mouselab-quiz-pre_Q0,mouselab-quiz-pre_Q1,mouselab-quiz-pre_Q2,mouselab-quiz-pre_Q3,passed_quizzes,age,colorblind,effort,gender,female,male,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,first_trial,colors,color_names,final_bonus,displayed_bonus,CODE,time_diff
0,1169,QuestPilot3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,47,0,0,female,1.0,0.0,firefox,windows,UNKNOWN,0,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.79,3.79,hedgehog,41.1
1,1170,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,32,0,0,female,1.0,0.0,chrome,windows,UNKNOWN,0,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.86,3.86,hedgehog,51.3
2,1171,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,28,0,0,female,1.0,0.0,chrome,windows,UNKNOWN,0,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.81,3.81,hedgehog,39.88333333333333
3,1172,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,38,0,1,male,0.0,1.0,firefox,windows,UNKNOWN,0,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.83,3.83,hedgehog,27.516666666666666
4,1173,QuestPilot3,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,30,0,0,male,0.0,1.0,firefox,macos,UNKNOWN,0,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.55,3.55,hedgehog,13.15
5,1174,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,31,0,1,female,1.0,0.0,chrome,windows,UNKNOWN,1,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",0.5,1.5,bighorn,26.483333333333334
7,1176,QuestPilot3,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,23,0,0,female,1.0,0.0,chrome,macos,UNKNOWN,1,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",1.56,2.56,bighorn,52.6
8,1177,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,35,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,1,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",0.9,1.9,bighorn,31.65
9,1178,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,25,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,1,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,0,1,7,1,2020-11-03,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.17,4.17,bighorn,6.133333333333334
10,1179,QuestPilot3,0.0,0.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1,48,0,0,female,1.0,0.0,chrome,windows,UNKNOWN,2,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-03,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",1.95,2.95,chinchilla,15.05
11,1180,QuestPilot3,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1,61,0,0,female,1.0,0.0,chrome,windows,UNKNOWN,2,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",1.73,2.73,chinchilla,24.9
12,1181,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,22,0,0,male,0.0,1.0,firefox,windows,UNKNOWN,2,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.07,4.07,chinchilla,31.45
