,browser,platform,cond,counterbalance,codeversion,bonus,status,mode,pid,run,final_bonus,displayed_bonus,DEPTH,COST,MIN_TIME,inspectCost,bonusRate,variance,branching,first_trial,time_diff
0,chrome,windows,0,0,0.0.3,0,1,live,37,quest_main,0.58,0.58,0,0,7,1,0.002,2_4_24,312,True,61.728
1,chrome,windows,0,0,0.0.3,0,1,live,79,quest_main,3.36,3.36,0,0,7,1,0.002,2_4_24,312,True,73.41545
2,firefox,windows,0,0,0.0.3,0,1,live,38,quest_main,3.57,3.57,0,0,7,1,0.002,2_4_24,312,False,92.61893333333333
3,chrome,windows,0,0,0.0.3,0,1,live,39,quest_main,3.35,3.35,0,0,7,1,0.002,2_4_24,312,True,87.409
4,chrome,macos,0,0,0.0.3,0,1,live,40,quest_main,3.3,3.3,0,0,7,1,0.002,2_4_24,312,False,57.46706666666667
5,firefox,linux,0,0,0.0.3,0,1,live,125,quest_main,3.02,3.02,0,0,7,1,0.002,2_4_24,312,False,59.06035
6,chrome,windows,0,0,0.0.3,0,1,live,42,quest_main,3.29,3.29,0,0,7,1,0.002,2_4_24,312,False,78.77868333333333
7,firefox,windows,0,0,0.0.3,0,1,live,43,quest_main,3.08,3.08,0,0,7,1,0.002,2_4_24,312,True,46.246633333333335
8,chrome,windows,0,0,0.0.3,0,1,live,44,quest_main,3.37,3.37,0,0,7,1,0.002,2_4_24,312,False,58.87061666666666
10,chrome,windows,0,0,0.0.3,0,1,live,45,quest_main,3.03,3.03,0,0,7,1,0.002,2_4_24,312,False,55.19351666666667
12,chrome,windows,0,0,0.0.3,0,1,live,81,quest_main,3.11,3.11,0,0,7,1,0.002,2_4_24,312,False,98.79071666666667
14,chrome,windows,0,0,0.0.3,0,1,live,47,quest_main,,,0,0,7,1,0.002,2_4_24,312,False,
16,chrome,windows,0,0,0.0.3,0,1,live,46,quest_main,,,0,0,7,1,0.002,2_4_24,312,True,81.26216666666667
18,chrome,windows,0,0,0.0.3,0,1,live,49,quest_main,3.22,3.22,0,0,7,1,0.002,2_4_24,312,False,62.4028
19,chrome,windows,0,0,0.0.3,0,1,live,135,quest_main,2.91,2.91,0,0,7,1,0.002,2_4_24,312,False,73.12368333333333
20,chrome,windows,0,0,0.0.3,0,1,live,51,quest_main,2.72,2.72,0,0,7,1,0.002,2_4_24,312,False,70.41958333333334
21,chrome,windows,0,0,0.0.3,0,1,live,77,quest_main,3.3,3.3,0,0,7,1,0.002,2_4_24,312,False,88.93971666666667
22,chrome,windows,0,0,0.0.3,0,1,live,86,quest_main,0.88,0.88,0,0,7,1,0.002,2_4_24,312,False,39.74035
23,chrome,macos,0,0,0.0.3,0,1,live,52,quest_main,3.49,3.49,0,0,7,1,0.002,2_4_24,312,True,45.6932
25,opera,windows,0,0,0.0.3,0,1,live,87,quest_main,3.26,3.26,0,0,7,1,0.002,2_4_24,312,True,57.26748333333333
26,chrome,windows,0,0,0.0.3,0,1,live,54,quest_main,,,0,0,7,1,0.002,2_4_24,312,True,83.57898333333333
28,chrome,windows,0,0,0.0.3,0,1,live,56,quest_main,2.9,2.9,0,0,7,1,0.002,2_4_24,312,True,72.30621666666667
30,opera,windows,0,0,0.0.3,0,1,live,137,quest_main,3.34,3.34,0,0,7,1,0.002,2_4_24,312,True,51.3345
31,chrome,windows,0,0,0.0.3,0,1,live,57,quest_main,,,0,0,7,1,0.002,2_4_24,312,True,64.32708333333333
33,chrome,windows,0,0,0.0.3,0,1,live,89,quest_main,3.29,3.29,0,0,7,1,0.002,2_4_24,312,False,80.22215
34,chrome,linux,0,0,0.0.3,0,1,live,58,quest_main,3.45,3.45,0,0,7,1,0.002,2_4_24,312,True,94.15398333333333
35,chrome,windows,0,0,0.0.3,0,1,live,92,quest_main,3.32,3.32,0,0,7,1,0.002,2_4_24,312,True,46.5703
36,chrome,windows,0,0,0.0.3,0,1,live,60,quest_main,3.19,3.19,0,0,7,1,0.002,2_4_24,312,False,92.32345
38,safari,macos,0,0,0.0.3,0,1,live,91,quest_main,3.2,3.2,0,0,7,1,0.002,2_4_24,312,False,61.134683333333335
39,chrome,windows,0,0,0.0.3,0,1,live,80,quest_main,0.62,0.62,0,0,7,1,0.002,2_4_24,312,True,42.8542
40,chrome,windows,0,0,0.0.3,0,1,live,63,quest_main,3.2,3.2,0,0,7,1,0.002,2_4_24,312,False,47.47845
41,chrome,windows,0,0,0.0.3,0,1,live,211,quest_main,,,0,0,7,1,0.002,2_4_24,312,False,83.94873333333334
43,chrome,macos,0,0,0.0.3,0,1,live,78,quest_main,,,0,0,7,1,0.002,2_4_24,312,False,44.10905
