,index,Participant id,Age,Sex
0,0,316,24,Male
1,1,300,26,Male
2,2,334,25,Female
3,3,331,23,Female
4,4,338,26,Male
5,5,315,23,Male
6,6,335,22,Male
7,7,322,39,Male
8,8,309,36,Male
9,9,305,19,Female
10,10,324,49,Female
11,11,288,20,Male
12,12,308,24,Female
13,13,296,27,Female
14,14,327,31,Male
15,15,325,20,Male
16,16,317,21,Female
17,17,333,49,Male
18,18,311,48,Female
19,19,329,24,Female
20,20,336,25,Male
21,21,337,23,Male
22,22,358,29,Female
23,23,299,21,Female
24,24,314,25,Female
25,25,321,24,Male
26,26,319,30,Male
27,27,298,24,Female
28,28,290,30,Female
29,29,312,25,Male
30,30,328,21,Male
31,31,323,25,Female
32,32,307,24,Male
33,33,318,30,Male
34,34,292,21,Female
35,35,293,27,Female
36,36,291,21,Female
37,37,304,40,Male
38,38,306,30,Female
39,39,297,35,Male
40,40,289,20,Female
41,41,342,30,Male
42,43,357,38,Male
43,44,380,29,Female
44,45,365,20,Female
45,46,371,29,Male
46,47,362,27,Male
47,48,376,29,Female
48,49,361,32,Female
49,50,356,24,Female
50,51,373,30,Male
51,52,363,25,Female
52,53,385,31,Male
53,54,348,22,Female
54,55,339,29,Male
55,56,369,53,Female
56,57,381,37,Male
57,58,349,39,Female
58,59,379,24,Male
59,60,386,22,Male
60,61,384,48,Male
61,62,364,57,Female
62,63,374,36,Male
63,64,367,58,Male
64,65,372,44,Male
65,66,359,19,Male
66,67,377,38,Male
67,68,391,27,Male
68,69,392,30,Female
69,70,355,58,Female
70,71,370,23,Female
71,72,352,23,Male
72,73,387,26,Female
73,74,378,23,Male
74,75,350,20,Female
75,76,394,26,Female
76,77,389,54,Female
77,78,375,31,Male
78,79,393,24,Female
79,80,353,29,Female
80,81,354,28,Male
81,82,360,20,Male
82,83,382,31,Male
83,84,383,30,Male
84,85,351,48,Male
85,86,407,23,Female
86,87,344,23,Female
87,88,341,31,Male
88,89,340,24,Female
89,90,346,63,Female
90,91,398,37,Male
91,92,345,43,Male
92,93,397,34,Male
93,94,408,47,Male
94,95,399,43,Male
95,96,404,32,Male
96,97,400,27,Female
97,98,403,26,Male
98,99,406,26,Female
