,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,pid,run,final_bonus,displayed_bonus,CODE,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,first_trial,colors,color_names,time_diff
0,chrome,macos,UNKNOWN,0,0,irlexp7_part1,2020-11-24,2020-11-24,2020-11-24,0.0,3,debug,273,2PartPilot1Part1,2.9,4.4,hedgehog,0,1,7,1,2020-11-24,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",35.88333333333333
1,chrome,windows,UNKNOWN,1,0,irlexp7_part1,2020-11-24,2020-11-24,2020-11-24,0.0,3,debug,274,2PartPilot1Part1,3.31,4.81,bighorn,0,1,7,1,2020-11-24,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",31.016666666666666
2,chrome,windows,UNKNOWN,2,0,irlexp7_part1,2020-11-24,2020-11-24,2020-11-24,0.0,3,debug,275,2PartPilot1Part1,2.96,4.46,chinchilla,0,1,7,1,2020-11-24,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",51.8
3,chrome,windows,UNKNOWN,4,0,irlexp7_part1,2020-11-24,2020-11-24,2020-11-24,0.0,3,debug,276,2PartPilot1Part1,3.05,4.55,guanaco,0,1,7,1,2020-11-24,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",22.533333333333335
4,chrome,windows,UNKNOWN,5,0,irlexp7_part1,2020-11-25,2020-11-25,2020-11-25,0.0,3,debug,277,2PartPilot1Part1,3.16,4.66,walrus,0,1,7,1,2020-11-25,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.0833333333333335
5,chrome,windows,UNKNOWN,6,0,irlexp7_part1,2020-11-25,2020-11-25,2020-11-25,0.0,3,debug,278,2PartPilot1Part1,3.5,5.0,dromedary,0,1,7,1,2020-11-24,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",35.05
6,chrome,windows,UNKNOWN,7,0,irlexp7_part1,2020-11-24,2020-11-24,2020-11-24,0.0,3,debug,279,2PartPilot1Part1,2.74,4.24,aoudad,0,1,7,1,2020-11-24,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",37.28333333333333
7,chrome,macos,UNKNOWN,9,0,irlexp7_part1,2020-11-25,2020-11-25,2020-11-25,0.0,3,debug,280,2PartPilot1Part1,3.36,4.86,rooster,0,1,7,1,2020-11-25,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",30.55
13,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-11-28,2020-11-28,2020-11-28,0.0,3,debug,984,2PartPilot2Part1,2.38,3.38,hedgehog,0,1,7,1,2020-11-27,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",41.333333333333336
14,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-11-28,2020-11-28,2020-11-28,0.0,3,debug,985,2PartPilot2Part1,0.15,1.15,hedgehog,0,1,7,1,2020-11-27,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",23.883333333333333
