,pid,run,mouselab-quiz-post_Q0,mouselab-quiz-post_Q1,mouselab-quiz-post_Q2,mouselab-quiz-post_Q3,mouselab-quiz-post_Q4,mouselab-quiz-pre_Q0,mouselab-quiz-pre_Q1,mouselab-quiz-pre_Q2,mouselab-quiz-pre_Q3,passed_quizzes,age,colorblind,effort,gender,female,male,other,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,final_bonus,displayed_bonus,CODE,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,first_trial,colors,color_names,time_diff
0,273,2PartPilot1Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,29,0,0,male,0.0,1.0,0.0,chrome,macos,UNKNOWN,0,0,irlexp7_part1,2020-11-24,2020-11-24,2020-11-24,0.0,3,debug,2.9,4.4,hedgehog,0,1,7,1,2020-11-24,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",35.88333333333333
1,274,2PartPilot1Part1,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,30,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,1,0,irlexp7_part1,2020-11-24,2020-11-24,2020-11-24,0.0,3,debug,3.31,4.81,bighorn,0,1,7,1,2020-11-24,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",31.016666666666666
2,275,2PartPilot1Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,29,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,2,0,irlexp7_part1,2020-11-24,2020-11-24,2020-11-24,0.0,3,debug,2.96,4.46,chinchilla,0,1,7,1,2020-11-24,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",51.8
3,276,2PartPilot1Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,27,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,4,0,irlexp7_part1,2020-11-24,2020-11-24,2020-11-24,0.0,3,debug,3.05,4.55,guanaco,0,1,7,1,2020-11-24,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",22.533333333333335
4,277,2PartPilot1Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,36,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,5,0,irlexp7_part1,2020-11-25,2020-11-25,2020-11-25,0.0,3,debug,3.16,4.66,walrus,0,1,7,1,2020-11-25,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.0833333333333335
5,278,2PartPilot1Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,28,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,6,0,irlexp7_part1,2020-11-25,2020-11-25,2020-11-25,0.0,3,debug,3.5,5.0,dromedary,0,1,7,1,2020-11-24,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",35.05
6,279,2PartPilot1Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,26,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,7,0,irlexp7_part1,2020-11-24,2020-11-24,2020-11-24,0.0,3,debug,2.74,4.24,aoudad,0,1,7,1,2020-11-24,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",37.28333333333333
7,280,2PartPilot1Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,26,0,0,female,1.0,0.0,0.0,chrome,macos,UNKNOWN,9,0,irlexp7_part1,2020-11-25,2020-11-25,2020-11-25,0.0,3,debug,3.36,4.86,rooster,0,1,7,1,2020-11-25,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",30.55
10,593,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,54,0,0,male,0.0,1.0,0.0,chrome,chromeos,UNKNOWN,0,0,irlexp7_2_part1,2020-12-15,2020-12-15,2020-12-15,0.0,3,debug,2.36,3.36,hedgehog,0,1,7,1,2020-12-15,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",38.016666666666666
11,594,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,48,0,0,female,1.0,0.0,0.0,chrome,macos,UNKNOWN,0,0,irlexp7_2_part1,2020-12-14,2020-12-14,2020-12-14,0.0,3,debug,0.53,1.53,hedgehog,0,1,7,1,2020-12-14,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",26.333333333333332
