n_steps,i_episode,finished,return,ground_truth,trial_id,actions,rewards,sim_policy,sim_experiment_setting,sim_cost_function,sim_bmps_file,sim_parameter_file,sim_num_trials,sim_seed,sim_forw_added_cost,sim_back_added_cost,sim_given_cost,sim_distance_multiplier,sim_depth_cost_weight,sim_temp,sim_kappa,sim_gamma,sim_noise,pid
3,0,True,45.5,"[0.0, 2.0, 8.0, -48.0, 48.0, 4.0, 4.0, -24.0, 48.0, -4.0, -4.0, 48.0, -24.0]",-9094639660769570359,8,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_kappa,20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
3,0,True,45.5,"[0.0, 2.0, 8.0, -48.0, 48.0, 4.0, 4.0, -24.0, 48.0, -4.0, -4.0, 48.0, -24.0]",-9094639660769570359,13,48.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_kappa,20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
10,1,True,10.0,"[0.0, -2.0, 4.0, -24.0, 24.0, -4.0, 8.0, -24.0, -48.0, -4.0, -8.0, 24.0, 24.0]",3023589674777612464,12,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_kappa,20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
10,1,True,10.0,"[0.0, -2.0, 4.0, -24.0, 24.0, -4.0, 8.0, -24.0, -48.0, -4.0, -8.0, 24.0, 24.0]",3023589674777612464,3,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_kappa,20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
10,1,True,10.0,"[0.0, -2.0, 4.0, -24.0, 24.0, -4.0, 8.0, -24.0, -48.0, -4.0, -8.0, 24.0, 24.0]",3023589674777612464,8,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_kappa,20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
10,1,True,10.0,"[0.0, -2.0, 4.0, -24.0, 24.0, -4.0, 8.0, -24.0, -48.0, -4.0, -8.0, 24.0, 24.0]",3023589674777612464,4,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_kappa,20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
10,1,True,10.0,"[0.0, -2.0, 4.0, -24.0, 24.0, -4.0, 8.0, -24.0, -48.0, -4.0, -8.0, 24.0, 24.0]",3023589674777612464,7,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_kappa,20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
10,1,True,10.0,"[0.0, -2.0, 4.0, -24.0, 24.0, -4.0, 8.0, -24.0, -48.0, -4.0, -8.0, 24.0, 24.0]",3023589674777612464,11,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_kappa,20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
10,1,True,10.0,"[0.0, -2.0, 4.0, -24.0, 24.0, -4.0, 8.0, -24.0, -48.0, -4.0, -8.0, 24.0, 24.0]",3023589674777612464,1,-1.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_kappa,20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
10,1,True,10.0,"[0.0, -2.0, 4.0, -24.0, 24.0, -4.0, 8.0, -24.0, -48.0, -4.0, -8.0, 24.0, 24.0]",3023589674777612464,2,0.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_kappa,20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
10,1,True,10.0,"[0.0, -2.0, 4.0, -24.0, 24.0, -4.0, 8.0, -24.0, -48.0, -4.0, -8.0, 24.0, 24.0]",3023589674777612464,13,26.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_kappa,20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
5,2,True,40.5,"[0.0, -2.0, 8.0, 24.0, 24.0, -2.0, 4.0, -24.0, -48.0, 2.0, -4.0, 24.0, 48.0]",6610219811563797093,4,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_kappa,20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
5,2,True,40.5,"[0.0, -2.0, 8.0, 24.0, 24.0, -2.0, 4.0, -24.0, -48.0, 2.0, -4.0, 24.0, 48.0]",6610219811563797093,7,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_kappa,20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
5,2,True,40.5,"[0.0, -2.0, 8.0, 24.0, 24.0, -2.0, 4.0, -24.0, -48.0, 2.0, -4.0, 24.0, 48.0]",6610219811563797093,12,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_kappa,20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
5,2,True,40.5,"[0.0, -2.0, 8.0, 24.0, 24.0, -2.0, 4.0, -24.0, -48.0, 2.0, -4.0, 24.0, 48.0]",6610219811563797093,13,48.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_kappa,20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
4,3,True,43.0,"[0.0, -2.0, -4.0, 48.0, 24.0, -2.0, -4.0, -48.0, -24.0, -4.0, -4.0, 24.0, 48.0]",-3177342720159175553,4,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_kappa,20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
4,3,True,43.0,"[0.0, -2.0, -4.0, 48.0, 24.0, -2.0, -4.0, -48.0, -24.0, -4.0, -4.0, 24.0, 48.0]",-3177342720159175553,12,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_kappa,20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
4,3,True,43.0,"[0.0, -2.0, -4.0, 48.0, 24.0, -2.0, -4.0, -48.0, -24.0, -4.0, -4.0, 24.0, 48.0]",-3177342720159175553,13,48.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_kappa,20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
10,4,True,6.5,"[0.0, -4.0, -4.0, -24.0, 24.0, -4.0, -8.0, -48.0, -48.0, 2.0, -4.0, -24.0, 24.0]",-5712514638697657456,4,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_kappa,20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
10,4,True,6.5,"[0.0, -4.0, -4.0, -24.0, 24.0, -4.0, -8.0, -48.0, -48.0, 2.0, -4.0, -24.0, 24.0]",-5712514638697657456,3,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_kappa,20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
10,4,True,6.5,"[0.0, -4.0, -4.0, -24.0, 24.0, -4.0, -8.0, -48.0, -48.0, 2.0, -4.0, -24.0, 24.0]",-5712514638697657456,11,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_kappa,20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
10,4,True,6.5,"[0.0, -4.0, -4.0, -24.0, 24.0, -4.0, -8.0, -48.0, -48.0, 2.0, -4.0, -24.0, 24.0]",-5712514638697657456,8,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_kappa,20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
10,4,True,6.5,"[0.0, -4.0, -4.0, -24.0, 24.0, -4.0, -8.0, -48.0, -48.0, 2.0, -4.0, -24.0, 24.0]",-5712514638697657456,12,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_kappa,20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
