n_steps,i_episode,finished,return,ground_truth,trial_id,actions,rewards,sim_policy,sim_experiment_setting,sim_cost_function,sim_bmps_file,sim_parameter_file,sim_num_trials,sim_seed,sim_forw_added_cost,sim_back_added_cost,sim_given_cost,sim_distance_multiplier,sim_depth_cost_weight,sim_temp,sim_kappa,sim_gamma,sim_noise,pid
6,0,True,32.349718460127114,"[0.0, -4.0, 4.0, -48.0, -24.0, 4.0, 4.0, 24.0, -48.0, -2.0, 4.0, 48.0, -48.0]",-3241889818231129669,8,-3.23606797749979,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
6,0,True,32.349718460127114,"[0.0, -4.0, 4.0, -48.0, -24.0, 4.0, 4.0, 24.0, -48.0, -2.0, 4.0, 48.0, -48.0]",-3241889818231129669,7,-3.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
6,0,True,32.349718460127114,"[0.0, -4.0, 4.0, -48.0, -24.0, 4.0, 4.0, 24.0, -48.0, -2.0, 4.0, 48.0, -48.0]",-3241889818231129669,11,-5.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
6,0,True,32.349718460127114,"[0.0, -4.0, 4.0, -48.0, -24.0, 4.0, 4.0, 24.0, -48.0, -2.0, 4.0, 48.0, -48.0]",-3241889818231129669,9,-2.414213562373095,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
6,0,True,32.349718460127114,"[0.0, -4.0, 4.0, -48.0, -24.0, 4.0, 4.0, 24.0, -48.0, -2.0, 4.0, 48.0, -48.0]",-3241889818231129669,13,46.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
4,1,True,42.349718460127114,"[0.0, -2.0, 4.0, -24.0, 48.0, -2.0, 8.0, 48.0, 48.0, -2.0, -8.0, -48.0, -24.0]",-832032261454643665,4,-3.23606797749979,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
4,1,True,42.349718460127114,"[0.0, -2.0, 4.0, -24.0, 48.0, -2.0, 8.0, 48.0, 48.0, -2.0, -8.0, -48.0, -24.0]",-832032261454643665,11,-2.414213562373095,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
4,1,True,42.349718460127114,"[0.0, -2.0, 4.0, -24.0, 48.0, -2.0, 8.0, 48.0, 48.0, -2.0, -8.0, -48.0, -24.0]",-832032261454643665,13,48.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
9,2,True,23.272031229663547,"[0.0, -2.0, -8.0, -48.0, -24.0, 2.0, -8.0, -48.0, 48.0, -2.0, 4.0, -48.0, -48.0]",-974285796851491632,3,-3.23606797749979,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
9,2,True,23.272031229663547,"[0.0, -2.0, -8.0, -48.0, -24.0, 2.0, -8.0, -48.0, 48.0, -2.0, 4.0, -48.0, -48.0]",-974285796851491632,4,-3.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
9,2,True,23.272031229663547,"[0.0, -2.0, -8.0, -48.0, -24.0, 2.0, -8.0, -48.0, 48.0, -2.0, 4.0, -48.0, -48.0]",-974285796851491632,11,-2.414213562373095,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
9,2,True,23.272031229663547,"[0.0, -2.0, -8.0, -48.0, -24.0, 2.0, -8.0, -48.0, 48.0, -2.0, 4.0, -48.0, -48.0]",-974285796851491632,12,-3.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
9,2,True,23.272031229663547,"[0.0, -2.0, -8.0, -48.0, -24.0, 2.0, -8.0, -48.0, 48.0, -2.0, 4.0, -48.0, -48.0]",-974285796851491632,7,-5.47213595499958,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
9,2,True,23.272031229663547,"[0.0, -2.0, -8.0, -48.0, -24.0, 2.0, -8.0, -48.0, 48.0, -2.0, 4.0, -48.0, -48.0]",-974285796851491632,8,-3.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
9,2,True,23.272031229663547,"[0.0, -2.0, -8.0, -48.0, -24.0, 2.0, -8.0, -48.0, 48.0, -2.0, 4.0, -48.0, -48.0]",-974285796851491632,2,-4.60555127546399,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
9,2,True,23.272031229663547,"[0.0, -2.0, -8.0, -48.0, -24.0, 2.0, -8.0, -48.0, 48.0, -2.0, 4.0, -48.0, -48.0]",-974285796851491632,13,48.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
6,3,True,36.349718460127114,"[0.0, 2.0, -8.0, 48.0, -48.0, -2.0, 8.0, -48.0, 24.0, 2.0, 8.0, -24.0, -48.0]",-5298439851260357307,12,-3.23606797749979,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
6,3,True,36.349718460127114,"[0.0, 2.0, -8.0, 48.0, -48.0, -2.0, 8.0, -48.0, 24.0, 2.0, 8.0, -24.0, -48.0]",-5298439851260357307,11,-3.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
6,3,True,36.349718460127114,"[0.0, 2.0, -8.0, 48.0, -48.0, -2.0, 8.0, -48.0, 24.0, 2.0, 8.0, -24.0, -48.0]",-5298439851260357307,4,-2.414213562373095,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
6,3,True,36.349718460127114,"[0.0, 2.0, -8.0, 48.0, -48.0, -2.0, 8.0, -48.0, 24.0, 2.0, 8.0, -24.0, -48.0]",-5298439851260357307,3,-3.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
6,3,True,36.349718460127114,"[0.0, 2.0, -8.0, 48.0, -48.0, -2.0, 8.0, -48.0, 24.0, 2.0, 8.0, -24.0, -48.0]",-5298439851260357307,13,48.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
3,4,True,44.763932022500214,"[0.0, -2.0, 4.0, 48.0, -48.0, 4.0, -8.0, 48.0, 24.0, -2.0, -8.0, 24.0, 48.0]",-4507891731722671583,7,-3.23606797749979,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
3,4,True,44.763932022500214,"[0.0, -2.0, 4.0, 48.0, -48.0, 4.0, -8.0, 48.0, 24.0, -2.0, -8.0, 24.0, 48.0]",-4507891731722671583,13,48.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
8,5,True,6.935504897754019,"[0.0, -2.0, -8.0, -48.0, 24.0, -4.0, -4.0, -24.0, -48.0, 2.0, -8.0, 24.0, 24.0]",8324563381047186377,12,-3.23606797749979,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
8,5,True,6.935504897754019,"[0.0, -2.0, -8.0, -48.0, 24.0, -4.0, -4.0, -24.0, -48.0, 2.0, -8.0, 24.0, 24.0]",8324563381047186377,11,-3.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
8,5,True,6.935504897754019,"[0.0, -2.0, -8.0, -48.0, 24.0, -4.0, -4.0, -24.0, -48.0, 2.0, -8.0, 24.0, 24.0]",8324563381047186377,4,-2.414213562373095,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
8,5,True,6.935504897754019,"[0.0, -2.0, -8.0, -48.0, 24.0, -4.0, -4.0, -24.0, -48.0, 2.0, -8.0, 24.0, 24.0]",8324563381047186377,3,-3.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
8,5,True,6.935504897754019,"[0.0, -2.0, -8.0, -48.0, 24.0, -4.0, -4.0, -24.0, -48.0, 2.0, -8.0, 24.0, 24.0]",8324563381047186377,7,-2.414213562373095,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
8,5,True,6.935504897754019,"[0.0, -2.0, -8.0, -48.0, 24.0, -4.0, -4.0, -24.0, -48.0, 2.0, -8.0, 24.0, 24.0]",8324563381047186377,8,-3.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
8,5,True,6.935504897754019,"[0.0, -2.0, -8.0, -48.0, 24.0, -4.0, -4.0, -24.0, -48.0, 2.0, -8.0, 24.0, 24.0]",8324563381047186377,13,24.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
4,6,True,41.763932022500214,"[0.0, -2.0, 8.0, 24.0, 48.0, -2.0, -8.0, 48.0, 48.0, 2.0, 4.0, 24.0, 48.0]",1013767336841409156,7,-3.23606797749979,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
4,6,True,41.763932022500214,"[0.0, -2.0, 8.0, 24.0, 48.0, -2.0, -8.0, 48.0, 48.0, 2.0, 4.0, 24.0, 48.0]",1013767336841409156,8,-3.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
4,6,True,41.763932022500214,"[0.0, -2.0, 8.0, 24.0, 48.0, -2.0, -8.0, 48.0, 48.0, 2.0, 4.0, 24.0, 48.0]",1013767336841409156,13,48.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,participants_new_analysis,20,91,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
