pid,trial_index,action_time,actions,block,path,queries,reward,rt,condition,bonus,score,simulation_mode,state_rewards,time_elapsed,trialTime,trial_type
0,0,"[23715, 26995, 32700]","['up', 'up', 'right']",training,"['0', '1', '2', '3']","{'click': {'state': {'target': ['1', '5', '9'], 'time': [6942, 13756, 18364]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['8', '5', '1', '1', '0', '0', '5', '0', '0', '9', '0', '8'], 'time': [2561, 5924, 6007, 6191, 12585, 13271, 13451, 15515, 16215, 16282, 20645, 20695]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['8', '5', '1', '1', '0', '0', '5', '0', '0', '9', '0', '8'], 'time': [5857, 5957, 6057, 12337, 12602, 13302, 15367, 15549, 16232, 20629, 20661, 20712]}, 'edge': {'target': [], 'time': []}}}","[24, 4, -2]","[213018.59499999956, 18325.940000000614, 23714.425000000134]",1,0,23,"[None, None, None]","['', 24, 4, -2, 4, -24, -8, -2, -4, -24, 8, -4, -2]",213020,[],mouselab-mdp
0,1,"[17136, 18967, 20472]","['up', 'up', 'left']",training,"['0', '1', '2', '4']","{'click': {'state': {'target': ['9', '5', '7', '8', '4'], 'time': [4504, 7135, 10136, 11359, 14584]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '0', '9', '9', '0', '5', '5', '0', '5', '7', '6', '8', '6', '1', '2', '4', '1', '0', '0', '1'], 'time': [2498, 2766, 3015, 3398, 5179, 5379, 6179, 6295, 6995, 9742, 10858, 11026, 12723, 13356, 14072, 14322, 15071, 15787, 15921, 16071]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['1', '0', '9', '9', '0', '5', '5', '0', '5', '7', '6', '8', '6', '1', '2', '4', '1', '5', '8', '0', '0', '1'], 'time': [2615, 2848, 3151, 5163, 5213, 5599, 6249, 6961, 9243, 10808, 10925, 12257, 13073, 13890, 14189, 15038, 15088, 15121, 15488, 15854, 15937, 16248]}, 'edge': {'target': [], 'time': []}}}","[-48, -8, 2]","[2768.6849999990955, 5193.525000000576, 17134.569999998377]",1,1.68,-59,"[None, None, None]","['', -48, -8, 4, 2, 24, 8, -2, -2, -24, 4, 4, 4]",231349,[],mouselab-mdp
0,2,"[27143, 28062, 28710]","['up', 'up', 'left']",training,"['0', '1', '2', '4']","{'click': {'state': {'target': ['5', '9', '10', '12', '1', '2', '4'], 'time': [3144, 4231, 5271, 6183, 10743, 11999, 12751]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['6', '5', '0', '9', '10', '12', '11', '1', '2', '4', '7'], 'time': [1920, 2636, 3818, 3985, 5034, 5966, 7115, 9880, 11445, 12511, 13310]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['6', '5', '5', '0', '9', '10', '12', '10', '11', '5', '1', '2', '4', '7'], 'time': [2552, 3535, 3801, 3835, 4784, 5816, 6849, 6999, 7267, 9697, 11396, 12478, 13077, 13345]}, 'edge': {'target': [], 'time': []}}}","[48, -4, 2]","[1312.565000000177, 1002.4749999993364, 27142.099999999104]",1,[],39,"[None, None, None]","['', 48, -4, 4, 2, -48, -8, 4, 2, 24, 8, -2, 2]",266732,[],mouselab-mdp
0,3,"[11368, 12151, 12918]","['up', 'up', 'right']",training,"['0', '1', '2', '3']","{'click': {'state': {'target': ['9', '5', '6', '7', '8', '1', '2', '3', '4'], 'time': [2584, 3263, 4168, 4824, 5439, 6543, 7199, 8000, 8847]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['6', '5', '0', '9', '5', '6', '7', '8', '1', '2', '3', '4', '4', '0', '0'], 'time': [1912, 2112, 2179, 2295, 3011, 3844, 4627, 5226, 5959, 6975, 7831, 8308, 8707, 9273, 9325]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['6', '5', '0', '9', '5', '6', '7', '6', '8', '5', '1', '2', '3', '2', '4', '4', '0', '0'], 'time': [2079, 2162, 2212, 2912, 3528, 4595, 5143, 5195, 5826, 5876, 6925, 7641, 8241, 8307, 8357, 9123, 9290, 9356]}, 'edge': {'target': [], 'time': []}}}","[24, 4, 4]","[413.00000000046566, 145.2799999988638, 11366.304999999586]",1,[],23,"[None, None, None]","['', 24, 4, 4, 4, 24, -4, -2, -2, -24, 8, -2, -4]",291115,[],mouselab-mdp
0,4,"[15832, 16728, 17392]","['right', 'right', 'up']",training,"['0', '5', '6', '7']","{'click': {'state': {'target': ['9', '5', '6', '7', '10', '1', '2', '3', '4', '8'], 'time': [3321, 4024, 4889, 5392, 6952, 8032, 8984, 9720, 10449, 14602]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['0', '0', '5', '0', '9', '0', '5', '6', '7', '1', '10', '11', '1', '2', '3', '4', '0', '0', '0', '8'], 'time': [1928, 2428, 2694, 2961, 3160, 3693, 3860, 4626, 5242, 5775, 6741, 7307, 7740, 8489, 9522, 10221, 11021, 11254, 12453, 14335]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '0', '5', '0', '9', '0', '5', '6', '7', '1', '10', '11', '1', '2', '3', '2', '4', '1', '0', '0', '5', '9', '0', '5', '6', '8'], 'time': [2062, 2445, 2768, 2977, 3665, 3743, 4593, 5209, 5625, 6574, 7257, 7657, 8439, 9505, 9988, 10173, 10671, 10904, 11204, 11271, 12005, 12420, 12519, 12686, 14185, 14934]}, 'edge': {'target': [], 'time': []}}}","[24, -4, 2]","[278.8049999999348, 263.6050000000978, 15830.954999999434]",1,[],12,"[None, None, None]","['', -24, -4, 4, -2, 24, -4, 2, -4, -48, -4, 4, -4]",329908,[],mouselab-mdp
0,5,"[10784, 11472, 14384]","['left', 'left', 'down']",training,"['0', '9', '10', '12']","{'click': {'state': {'target': ['9', '10', '12', '5', '1', '2', '4'], 'time': [2201, 2928, 3497, 5864, 7128, 7912, 8632]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['8', '5', '2', '4', '1', '9', '10', '12', '5', '1', '2', '4', '3', '6', '8'], 'time': [1296, 1328, 1378, 1445, 1613, 2011, 2760, 3327, 5559, 6940, 7706, 8441, 9290, 9689, 9739]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['8', '5', '2', '4', '1', '9', '10', '12', '5', '1', '2', '4', '3', '6', '8', '6'], 'time': [1312, 1345, 1428, 1495, 1694, 2644, 3293, 3710, 6757, 7673, 8306, 8922, 9590, 9705, 13253, 13486]}, 'edge': {'target': [], 'time': []}}}","[24, 4, 4]","[393.5600000004051, 158.3499999997439, 10782.680000000284]",1,[],25,"[None, None, None]","['', -24, 4, 2, -2, -24, -8, -4, 4, 24, 4, 2, 4]",435916,[],mouselab-mdp
0,6,"[42804, 43556, 45491]","['left', 'left', 'up']",training,"['0', '9', '10', '11']","{'click': {'state': {'target': ['5', '9', '10', '12', '1'], 'time': [38380, 39013, 39716, 40180, 41692]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['5', '6', '5', '0', '9', '10', '12', '0', '1'], 'time': [1081, 37932, 38049, 38732, 38815, 39531, 40031, 40813, 41313]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['5', '6', '5', '0', '9', '10', '12', '0', '1'], 'time': [1214, 37982, 38732, 38768, 39498, 39964, 40614, 40863, 42097]}, 'edge': {'target': [], 'time': []}}}","[48, 8, -2]","[184.20999999943888, 2396.7400000001653, 42804.384999999485]",1,[],49,"[None, None, None]","['', -48, 4, 2, -4, -48, 8, -4, -4, 48, 8, -2, -2]",455291,[],mouselab-mdp
0,7,"[17296, 17998, 19166]","['left', 'left', 'down']",training,"['0', '9', '10', '12']","{'click': {'state': {'target': ['5', '1', '9', '10', '11', '12', '2', '4', '3', '7', '6', '8'], 'time': [1807, 2855, 3607, 5511, 6351, 6984, 8815, 9671, 10271, 10863, 11239, 11671]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['7', '5', '0', '0', '1', '9', '10', '11', '12', '0', '2', '4', '3', '7', '6', '8'], 'time': [1240, 1357, 2373, 2473, 2556, 3339, 5220, 6170, 6736, 8451, 8584, 9550, 10116, 10583, 11082, 11449]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['7', '5', '0', '0', '1', '9', '10', '11', '10', '12', '0', '1', '2', '4', '2', '3', '7', '6', '8'], 'time': [1257, 2339, 2390, 2489, 3306, 4887, 6103, 6670, 6719, 7369, 8468, 8551, 9384, 9867, 9983, 10533, 11050, 11415, 11883]}, 'edge': {'target': [], 'time': []}}}","[-48, 8, 4]","[243.74000000173692, 1429.6049999993993, 17294.32000000088]",1,[],-48,"[None, None, None]","['', -48, -8, 4, -2, -48, 8, -4, -4, -48, 8, -2, 4]",471939,[],mouselab-mdp
0,8,"[4685, 5389, 6485]","['left', 'left', 'down']",training,"['0', '9', '10', '12']","{'click': {'state': {'target': ['1', '9', '10', '12'], 'time': [1926, 2839, 3590, 4070]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['7', '1', '9', '10', '12'], 'time': [1567, 1784, 2683, 3466, 3916]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['7', '1', '9', '10', '12'], 'time': [1584, 2452, 3333, 3867, 4249]}, 'edge': {'target': [], 'time': []}}}","[24, 8, 4]","[186.8350000004284, 655.9150000012014, 4684.134999999544]",1,[],32,"[None, None, None]","['', -48, -4, -2, 4, -24, -4, 4, 4, 24, 8, -2, 4]",519673,[],mouselab-mdp
0,9,"[44197, 44917, 45484]","['right', 'right', 'down']",training,"['0', '5', '6', '8']","{'click': {'state': {'target': ['5', '6', '8', '7'], 'time': [40982, 42045, 42645, 43301]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['8', '6', '5', '0', '0', '6', '8', '7'], 'time': [40210, 40279, 40495, 41259, 41592, 41776, 42442, 42991]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['8', '6', '5', '0', '0', '5', '6', '8', '6', '7'], 'time': [40227, 40345, 41226, 41293, 41609, 41642, 42375, 42842, 42941, 43457]}, 'edge': {'target': [], 'time': []}}}","[48, -4, 2]","[190.3649999985937, 586.8549999995157, 44196.71999999997]",1,[],42,"[None, None, None]","['', 24, -8, -4, -2, 48, -4, -4, 2, -48, -8, -4, -4]",543625,[],mouselab-mdp
0,10,"[8178, 9394, 10498]","['left', 'left', 'down']",training,"['0', '9', '10', '12']","{'click': {'state': {'target': ['1', '5', '9', '10', '12', '11'], 'time': [1963, 2978, 3947, 4586, 5123, 5651]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['0', '9', '0', '1', '5', '9', '9', '10', '12', '11', '6'], 'time': [946, 1029, 1446, 1779, 2628, 3344, 3811, 4393, 4926, 5443, 6475]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '9', '0', '1', '5', '9', '9', '9', '10', '12', '10', '11', '5', '6', '5', '1', '1'], 'time': [963, 1413, 1546, 2562, 3294, 3394, 4211, 4360, 4793, 5276, 5443, 5876, 6459, 6908, 6975, 7125, 7308]}, 'edge': {'target': [], 'time': []}}}","[24, -4, -2]","[209.2199999988079, 60.39000000047963, 8176.980000000214]",1,[],12,"[None, None, None]","['', -48, 4, -2, -4, -48, 4, -2, 4, 24, -4, -2, -2]",552610,[],mouselab-mdp
