eventtype,value,timestamp,interval,pid,event_num
initialized,,1646841907269,0,2315,0
window_resize,"[1024, 700]",1646841907269,0,2315,1
window_resize,"[1024, 700]",1646841907792,523,2315,2
window_resize,"[1366, 768]",1646841924840,17048,2315,3
window_resize,"[1024, 700]",1646841966396,41556,2315,4
window_resize,"[1298, 700]",1646842126693,160297,2315,5
focus,off,1646842134137,7444,2315,6
focus,on,1646842134137,0,2315,7
focus,off,1646842328392,194255,2315,8
focus,on,1646842328392,0,2315,9
focus,off,1646842392731,64339,2315,10
focus,on,1646842392731,0,2315,11
initialized,,1646837590413,0,2200,0
window_resize,"[1600, 818]",1646837590413,0,2200,1
window_resize,"[1600, 818]",1646837590805,392,2200,2
focus,off,1646837591307,502,2200,3
focus,on,1646837600126,8819,2200,4
window_resize,"[1600, 900]",1646837602401,2275,2200,5
window_resize,"[1600, 818]",1646837604086,1685,2200,6
focus,off,1646837658796,54710,2200,7
focus,on,1646837658796,0,2200,8
initialized,,1646839381238,0,2284,0
window_resize,"[1024, 767]",1646839381239,1,2284,1
window_resize,"[1024, 767]",1646839381763,524,2284,2
window_resize,"[1280, 1024]",1646839384599,2836,2284,3
focus,off,1646839454118,69519,2284,4
focus,on,1646839454118,0,2284,5
window_resize,"[1024, 767]",1646839454341,223,2284,6
initialized,,1646843658575,0,2334,0
window_resize,"[1024, 650]",1646843658575,0,2334,1
window_resize,"[1024, 650]",1646843658942,367,2334,2
window_resize,"[1366, 768]",1646843661576,2634,2334,3
window_resize,"[1024, 650]",1646843662976,1400,2334,4
initialized,,1646843160952,0,2327,0
window_resize,"[1024, 767]",1646843160952,0,2327,1
window_resize,"[1024, 767]",1646843161305,353,2327,2
window_resize,"[1920, 1080]",1646843165944,4639,2327,3
focus,off,1646843354898,188954,2327,4
focus,on,1646843354898,0,2327,5
window_resize,"[1024, 767]",1646843355110,212,2327,6
focus,off,1646843450088,94978,2327,7
focus,on,1646843450088,0,2327,8
focus,off,1646843521529,71441,2327,9
focus,on,1646843521529,0,2327,10
focus,off,1646843649631,128102,2327,11
focus,on,1646843654853,5222,2327,12
focus,off,1646843669559,14706,2327,13
focus,on,1646843678458,8899,2327,14
focus,off,1646843678459,1,2327,15
focus,on,1646843678471,12,2327,16
focus,off,1646843683355,4884,2327,17
focus,on,1646843743535,60180,2327,18
focus,off,1646843751424,7889,2327,19
focus,on,1646843751428,4,2327,20
focus,off,1646843756185,4757,2327,21
focus,on,1646843790557,34372,2327,22
focus,off,1646843790558,1,2327,23
focus,on,1646843790569,11,2327,24
focus,off,1646843795983,5414,2327,25
focus,on,1646848539356,4743373,2327,26
initialized,,1646838644164,0,2269,0
window_resize,"[1024, 768]",1646838644164,0,2269,1
focus,on,1646838644302,138,2269,2
window_resize,"[1024, 768]",1646838644507,205,2269,3
window_resize,"[2560, 1336]",1646838648147,3640,2269,4
window_resize,"[2560, 1440]",1646838650516,2369,2269,5
focus,off,1646838801755,151239,2269,6
focus,on,1646838801755,0,2269,7
focus,off,1646839001750,199995,2269,8
focus,on,1646839001750,0,2269,9
window_resize,"[2560, 1336]",1646839004502,2752,2269,10
window_resize,"[1024, 768]",1646839005262,760,2269,11
initialized,,1646844109532,0,2335,0
window_resize,"[1024, 740]",1646844109532,0,2335,1
window_resize,"[1024, 740]",1646844109869,337,2335,2
window_resize,"[1440, 900]",1646844114603,4734,2335,3
window_resize,"[1024, 740]",1646844332186,217583,2335,4
initialized,,1646838641664,0,2274,0
window_resize,"[1024, 742]",1646838641664,0,2274,1
window_resize,"[1024, 742]",1646838642006,342,2274,2
window_resize,"[1440, 900]",1646838644887,2881,2274,3
focus,off,1646838739959,95072,2274,4
focus,on,1646838740150,191,2274,5
window_resize,"[1024, 742]",1646838740169,19,2274,6
focus,off,1646838741604,1435,2274,7
focus,on,1646839863045,1121441,2274,8
focus,off,1646839964707,101662,2274,9
focus,on,1646839964885,178,2274,10
