success,trial_type,time_elapsed,internal_node_id,view_history,rt,responses,correct,pid,revealed_states,num_clicks_accrued,state_rewards,trial_id,block,trial_index,score,simulation_mode,rewards,path,actions,action_times,queries,displayed_time,trial_time,stimulus,button_pressed
True,fullscreen,14298.0,0.0-0.0,,,,,2315,,,,,,,,,,,,,,,,,
True,fullscreen,11113.0,0.0-0.0,,,,,2200,,,,,,,,,,,,,,,,,
True,fullscreen,2213.0,0.0-0.0,,,,,2284,,,,,,,,,,,,,,,,,
True,fullscreen,2242.0,0.0-0.0,,,,,2334,,,,,,,,,,,,,,,,,
True,fullscreen,4123.0,0.0-0.0,,,,,2327,,,,,,,,,,,,,,,,,
True,fullscreen,5409.0,0.0-0.0,,,,,2269,,,,,,,,,,,,,,,,,
True,fullscreen,4144.0,0.0-0.0,,,,,2335,,,,,,,,,,,,,,,,,
True,fullscreen,2285.0,0.0-0.0,,,,,2274,,,,,,,,,,,,,,,,,
True,fullscreen,7004.0,0.0-0.0,,,,,2343,,,,,,,,,,,,,,,,,
True,fullscreen,4903.0,0.0-0.0,,,,,2201,,,,,,,,,,,,,,,,,
True,fullscreen,51596.0,0.0-0.0,,,,,2316,,,,,,,,,,,,,,,,,
True,fullscreen,5213.0,0.0-0.0,,,,,2285,,,,,,,,,,,,,,,,,
True,fullscreen,4604.0,0.0-0.0,,,,,2202,,,,,,,,,,,,,,,,,
True,fullscreen,3914.0,0.0-0.0,,,,,2344,,,,,,,,,,,,,,,,,
True,fullscreen,28176.0,0.0-0.0,,,,,2317,,,,,,,,,,,,,,,,,
True,fullscreen,9144.0,0.0-0.0,,,,,2318,,,,,,,,,,,,,,,,,
True,fullscreen,2553.0,0.0-0.0,,,,,2314,,,,,,,,,,,,,,,,,
True,fullscreen,5655.0,0.0-0.0,,,,,2203,,,,,,,,,,,,,,,,,
True,fullscreen,3434.0,0.0-0.0,,,,,2345,,,,,,,,,,,,,,,,,
True,fullscreen,51884.0,0.0-0.0,,,,,2329,,,,,,,,,,,,,,,,,
True,fullscreen,31034.0,0.0-0.0,,,,,2346,,,,,,,,,,,,,,,,,
True,fullscreen,7257.0,0.0-0.0,,,,,2319,,,,,,,,,,,,,,,,,
True,fullscreen,5182.0,0.0-0.0,,,,,2330,,,,,,,,,,,,,,,,,
True,fullscreen,3645.0,0.0-0.0,,,,,2204,,,,,,,,,,,,,,,,,
True,fullscreen,2872.0,0.0-0.0,,,,,2205,,,,,,,,,,,,,,,,,
True,fullscreen,2447.0,0.0-0.0,,,,,2206,,,,,,,,,,,,,,,,,
True,fullscreen,8445.0,0.0-0.0,,,,,2320,,,,,,,,,,,,,,,,,
True,fullscreen,3938.0,0.0-0.0,,,,,2341,,,,,,,,,,,,,,,,,
True,fullscreen,2767.0,0.0-0.0,,,,,2321,,,,,,,,,,,,,,,,,
True,fullscreen,19171.0,0.0-0.0,,,,,2255,,,,,,,,,,,,,,,,,
True,fullscreen,2343.0,0.0-0.0,,,,,2270,,,,,,,,,,,,,,,,,
True,fullscreen,2920.0,0.0-0.0,,,,,2261,,,,,,,,,,,,,,,,,
True,fullscreen,4163.0,0.0-0.0,,,,,2207,,,,,,,,,,,,,,,,,
True,fullscreen,4608.0,0.0-0.0,,,,,2208,,,,,,,,,,,,,,,,,
True,fullscreen,3881.0,0.0-0.0,,,,,2209,,,,,,,,,,,,,,,,,
True,fullscreen,3585.0,0.0-0.0,,,,,2339,,,,,,,,,,,,,,,,,
True,fullscreen,625481.0,0.0-4.0,,,,,2339,,,,,,,,,,,,,,,,,
True,fullscreen,2550.0,0.0-0.0,,,,,2336,,,,,,,,,,,,,,,,,
True,fullscreen,699278.0,0.0-4.0,,,,,2336,,,,,,,,,,,,,,,,,
