browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,pid
chrome,windows,pt-BR,0,0,irlexp10_1,2022-03-09 16:05:00.841924,2022-03-09 16:13:10.299196,,0.0,6,live,2315
chrome,windows,en-US,0,0,irlexp10_1,2022-03-09 14:53:08.949090,2022-03-09 14:54:18.610611,,0.0,6,live,2200
chrome,windows,en-US,1,0,irlexp10_1,2022-03-09 15:22:58.296333,2022-03-09 15:24:14.002127,,0.0,6,live,2284
chrome,windows,en-US,2,0,irlexp10_1,2022-03-09 16:34:17.367578,2022-03-09 16:34:22.574553,,0.0,6,live,2334
chrome,windows,en-US,2,0,irlexp10_1,2022-03-09 16:26:00.274557,2022-03-09 16:32:02.362256,,0.0,6,live,2327
firefox,windows,en-US,3,0,irlexp10_1,2022-03-09 15:10:43.109934,2022-03-09 15:16:42.182368,,0.0,6,live,2269
safari,macos,en-us,4,0,irlexp10_1,2022-03-09 16:41:50.215324,2022-03-09 16:45:32.893730,,0.0,6,live,2335
chrome,macos,en-US,4,0,irlexp10_1,2022-03-09 15:10:40.126917,2022-03-09 15:32:44.818818,,0.0,6,live,2274
chrome,windows,en-US,6,0,irlexp10_1,2022-03-09 17:30:06.013612,2022-03-09 17:33:32.094864,,0.0,6,live,2343
chrome,windows,en-US,8,0,irlexp10_1,2022-03-09 14:55:15.753404,2022-03-09 14:58:23.600354,,0.0,6,live,2201
chrome,windows,en-US,9,0,irlexp10_1,2022-03-09 16:09:47.981036,2022-03-09 16:11:34.051420,,0.0,6,live,2316
firefox,macos,en-US,9,0,irlexp10_1,2022-03-09 15:18:40.284771,2022-03-09 15:20:38.217655,,0.0,6,live,2285
chrome,windows,en-US,10,0,irlexp10_1,2022-03-09 14:54:29.632935,2022-03-09 14:58:01.998698,,0.0,6,live,2202
chrome,windows,en-US,11,0,irlexp10_1,2022-03-09 16:53:58.209358,2022-03-09 16:54:04.803695,,0.0,6,live,2344
firefox,windows,en-US,11,0,irlexp10_1,2022-03-09 16:25:05.374171,2022-03-09 16:29:21.398313,,0.0,6,live,2317
chrome,windows,en-US,11,0,irlexp10_1,2022-03-09 16:08:46.200684,2022-03-09 16:09:01.431236,,0.0,6,live,2318
chrome,windows,en-US,11,0,irlexp10_1,2022-03-09 15:31:47.236367,2022-03-09 16:06:32.745241,,0.0,6,live,2314
chrome,windows,en-US,11,0,irlexp10_1,2022-03-09 14:58:58.982691,2022-03-09 15:03:45.699718,,0.0,6,live,2203
chrome,windows,en-US,12,0,irlexp10_1,2022-03-09 17:22:18.683898,2022-03-09 17:26:13.068467,,0.0,6,live,2345
chrome,macos,en-US,12,0,irlexp10_1,2022-03-09 16:23:53.846625,2022-03-09 16:31:28.354983,,0.0,6,live,2329
chrome,windows,en-US,13,0,irlexp10_1,2022-03-09 17:04:46.132194,2022-03-09 17:12:32.511985,,0.0,6,live,2346
chrome,windows,en-US,13,0,irlexp10_1,2022-03-09 16:20:45.055711,2022-03-09 16:25:12.742967,,0.0,6,live,2319
chrome,windows,en-US,14,0,irlexp10_1,2022-03-09 16:27:59.852032,2022-03-09 16:35:02.566950,,0.0,6,live,2330
chrome,windows,en-US,14,0,irlexp10_1,2022-03-09 15:00:06.611160,2022-03-09 15:00:13.154116,,0.0,6,live,2204
chrome,chromeos,en-US,14,0,irlexp10_1,2022-03-09 14:55:19.209773,2022-03-09 14:55:50.711807,,0.0,6,live,2205
chrome,chromeos,en-US,15,0,irlexp10_1,2022-03-09 14:53:07.936302,2022-03-09 14:56:04.235393,,0.0,6,live,2206
chrome,windows,en-US,16,0,irlexp10_1,2022-03-09 16:24:20.890378,2022-03-09 16:24:34.073616,,0.0,6,live,2320
chrome,windows,en-US,17,0,irlexp10_1,2022-03-09 16:45:36.703674,2022-03-09 16:52:36.650089,,0.0,6,live,2341
chrome,windows,en-US,17,0,irlexp10_1,2022-03-09 16:13:15.273804,2022-03-09 16:13:20.218368,,0.0,6,live,2321
firefox,windows,en-US,17,0,irlexp10_1,2022-03-09 15:02:09.299993,2022-03-09 15:03:20.479715,,0.0,6,live,2255
firefox,windows,en-US,20,0,irlexp10_1,2022-03-09 15:13:53.375365,2022-03-09 15:15:19.023068,,0.0,6,live,2270
chrome,windows,en-US,20,0,irlexp10_1,2022-03-09 15:02:07.594689,2022-03-09 15:02:17.747239,,0.0,6,live,2261
chrome,windows,en-US,21,0,irlexp10_1,2022-03-09 14:54:11.860552,2022-03-09 15:01:32.356141,,0.0,6,live,2207
chrome,macos,en-US,23,0,irlexp10_1,2022-03-09 14:53:05.068484,2022-03-09 14:57:27.890026,,0.0,6,live,2208
chrome,macos,en-US,23,0,irlexp10_1,2022-03-09 14:54:45.310753,2022-03-09 14:54:51.832256,,0.0,6,live,2209
chrome,windows,en-US,0,0,irlexp10_1,2022-03-09 16:38:57.791309,2022-03-09 16:39:05.233082,2022-03-09 16:49:37.223798,0.0,3,live,2339
