success,trial_type,time_elapsed,internal_node_id,view_history,rt,responses,correct,pid,revealed_states,num_clicks_accrued,state_rewards,trial_id,block,trial_index,score,simulation_mode,rewards,path,actions,action_times,queries,displayed_time,trial_time,stimulus,button_pressed
,html-button-response,635191.0,0.0-5.0,,9704,,,2339,,,,,,,,,,,,,,,,The secret code is <strong>HEDGEHOG</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,726785.0,0.0-5.0,,27505,,,2336,,,,,,,,,,,,,,,,The secret code is <strong>HEDGEHOG</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,792173.0,0.0-5.0,,4077,,,2271,,,,,,,,,,,,,,,,The secret code is <strong>HEDGEHOG</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,795512.0,0.0-5.0,,4874,,,2221,,,,,,,,,,,,,,,,The secret code is <strong>HEDGEHOG</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,667226.0,0.0-5.0,,13504,,,2210,,,,,,,,,,,,,,,,The secret code is <strong>HEDGEHOG</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,695138.0,0.0-5.0,,12855,,,2347,,,,,,,,,,,,,,,,The secret code is <strong>BIGHORN</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,999176.0,0.0-5.0,,17112,,,2272,,,,,,,,,,,,,,,,The secret code is <strong>BIGHORN</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,655488.0,0.0-5.0,,2866.0,,,2222,,,,,,,,,,,,,,,,The secret code is <strong>BIGHORN</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,794201.0,0.0-5.0,,5549,,,2223,,,,,,,,,,,,,,,,The secret code is <strong>BIGHORN</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,855194.0,0.0-5.0,,25231,,,2224,,,,,,,,,,,,,,,,The secret code is <strong>BIGHORN</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,917794.0,0.0-5.0,,16986,,,2360,,,,,,,,,,,,,,,,The secret code is <strong>CHINCHILLA</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,928584.0,0.0-5.0,,6409,,,2348,,,,,,,,,,,,,,,,The secret code is <strong>CHINCHILLA</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,1006971.0,0.0-5.0,,35148,,,2273,,,,,,,,,,,,,,,,The secret code is <strong>CHINCHILLA</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,1095445.0,0.0-5.0,,5656,,,2225,,,,,,,,,,,,,,,,The secret code is <strong>CHINCHILLA</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,743070.0,0.0-5.0,,6542,,,2226,,,,,,,,,,,,,,,,The secret code is <strong>CHINCHILLA</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,1029040.0,0.0-5.0,,7024,,,2340,,,,,,,,,,,,,,,,The secret code is <strong>PORCUPINE</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,364986.0,0.0-5.0,,5587.0,,,2307,,,,,,,,,,,,,,,,The secret code is <strong>PORCUPINE</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,1149225.0,0.0-5.0,,23517,,,2227,,,,,,,,,,,,,,,,The secret code is <strong>PORCUPINE</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,965791.0,0.0-5.0,,5639,,,2228,,,,,,,,,,,,,,,,The secret code is <strong>PORCUPINE</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,566018.0,0.0-5.0,,7914,,,2211,,,,,,,,,,,,,,,,The secret code is <strong>PORCUPINE</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,1286464.0,0.0-5.0,,12909,,,2354,,,,,,,,,,,,,,,,The secret code is <strong>GUANACO</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,802460.0,0.0-5.0,,9621,,,2286,,,,,,,,,,,,,,,,The secret code is <strong>GUANACO</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,708731.0,0.0-5.0,,3124,,,2287,,,,,,,,,,,,,,,,The secret code is <strong>GUANACO</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,869143.0,0.0-5.0,,12365,,,2229,,,,,,,,,,,,,,,,The secret code is <strong>GUANACO</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,734599.0,0.0-5.0,,11923,,,2212,,,,,,,,,,,,,,,,The secret code is <strong>GUANACO</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,599124.0,0.0-5.0,,4155,,,2322,,,,,,,,,,,,,,,,The secret code is <strong>WALRUS</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,749237.0,0.0-5.0,,5885,,,2275,,,,,,,,,,,,,,,,The secret code is <strong>WALRUS</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,519587.0,0.0-5.0,,13209,,,2231,,,,,,,,,,,,,,,,The secret code is <strong>WALRUS</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,1176872.0,0.0-5.0,,3455,,,2232,,,,,,,,,,,,,,,,The secret code is <strong>WALRUS</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,758664.0,0.0-5.0,,8486,,,2233,,,,,,,,,,,,,,,,The secret code is <strong>WALRUS</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,641198.0,0.0-5.0,,11241,,,2366,,,,,,,,,,,,,,,,The secret code is <strong>DROMEDARY</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,1023296.0,0.0-5.0,,17106,,,2276,,,,,,,,,,,,,,,,The secret code is <strong>DROMEDARY</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,410906.0,0.0-5.0,,6180.0,,,195,,,,,,,,,,,,,,,,The secret code is <strong>DROMEDARY</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,776239.0,0.0-5.0,,4192,,,2234,,,,,,,,,,,,,,,,The secret code is <strong>DROMEDARY</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,799552.0,0.0-5.0,,12188,,,2235,,,,,,,,,,,,,,,,The secret code is <strong>DROMEDARY</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,917092.0,0.0-5.0,,6464,,,2361,,,,,,,,,,,,,,,,The secret code is <strong>AOUDAD</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
