success,trial_type,time_elapsed,internal_node_id,view_history,rt,responses,correct,pid,revealed_states,num_clicks_accrued,state_rewards,trial_id,block,trial_index,score,simulation_mode,rewards,path,actions,action_times,queries,displayed_time,trial_time,stimulus,button_pressed
,instructions,158591.0,0.0-1.0-0.0,"[{""page_index"":0,""viewing_time"":34552},{""page_index"":1,""viewing_time"":71262},{""page_index"":2,""viewing_time"":19155},{""page_index"":3,""viewing_time"":4241},{""page_index"":4,""viewing_time"":4234},{""page_index"":5,""viewing_time"":4687},{""page_index"":6,""viewing_time"":3654},{""page_index"":7,""viewing_time"":2498}]",144285.0,,,2315,,,,,,,,,,,,,,,,,
,instructions,336756.0,0.0-1.1-0.1,"[{""page_index"":0,""viewing_time"":2281},{""page_index"":1,""viewing_time"":27635},{""page_index"":2,""viewing_time"":10690},{""page_index"":3,""viewing_time"":22343},{""page_index"":4,""viewing_time"":7481},{""page_index"":5,""viewing_time"":20663},{""page_index"":6,""viewing_time"":17770},{""page_index"":7,""viewing_time"":4965}]",113829.0,,,2315,,,,,,,,,,,,,,,,,
,instructions,449330.0,0.0-1.2-0.2,"[{""page_index"":0,""viewing_time"":1403},{""page_index"":1,""viewing_time"":5850},{""page_index"":2,""viewing_time"":2391},{""page_index"":3,""viewing_time"":4055},{""page_index"":4,""viewing_time"":1879},{""page_index"":5,""viewing_time"":1968},{""page_index"":6,""viewing_time"":10436},{""page_index"":7,""viewing_time"":4165}]",32148.0,,,2315,,,,,,,,,,,,,,,,,
,instructions,45727.0,0.0-1.0-0.0,"[{""page_index"":0,""viewing_time"":4262},{""page_index"":1,""viewing_time"":3509},{""page_index"":2,""viewing_time"":1856},{""page_index"":3,""viewing_time"":8178},{""page_index"":4,""viewing_time"":4320},{""page_index"":5,""viewing_time"":5053},{""page_index"":6,""viewing_time"":2225},{""page_index"":7,""viewing_time"":5197}]",34601.0,,,2200,,,,,,,,,,,,,,,,,
,instructions,43301.0,0.0-1.0-0.0,"[{""page_index"":0,""viewing_time"":5726},{""page_index"":1,""viewing_time"":8742},{""page_index"":2,""viewing_time"":6898},{""page_index"":3,""viewing_time"":6780},{""page_index"":4,""viewing_time"":3514},{""page_index"":5,""viewing_time"":2004},{""page_index"":6,""viewing_time"":2050},{""page_index"":7,""viewing_time"":5362}]",41077.0,,,2284,,,,,,,,,,,,,,,,,
,instructions,145144.0,0.0-1.0-0.0,"[{""page_index"":0,""viewing_time"":8610},{""page_index"":1,""viewing_time"":30687},{""page_index"":2,""viewing_time"":19503},{""page_index"":3,""viewing_time"":26659},{""page_index"":4,""viewing_time"":12416},{""page_index"":5,""viewing_time"":14045},{""page_index"":6,""viewing_time"":21352},{""page_index"":7,""viewing_time"":7740}]",141012.0,,,2327,,,,,,,,,,,,,,,,,
,instructions,240721.0,0.0-1.1-0.1,"[{""page_index"":0,""viewing_time"":1539},{""page_index"":1,""viewing_time"":10182},{""page_index"":2,""viewing_time"":9630},{""page_index"":3,""viewing_time"":4292},{""page_index"":4,""viewing_time"":4812},{""page_index"":5,""viewing_time"":8996},{""page_index"":6,""viewing_time"":5464},{""page_index"":7,""viewing_time"":3518}]",48434.0,,,2327,,,,,,,,,,,,,,,,,
,instructions,336844.0,0.0-1.2-0.2,"[{""page_index"":0,""viewing_time"":1609},{""page_index"":1,""viewing_time"":15334},{""page_index"":2,""viewing_time"":10850},{""page_index"":3,""viewing_time"":9594},{""page_index"":4,""viewing_time"":2953},{""page_index"":5,""viewing_time"":3161},{""page_index"":6,""viewing_time"":4146},{""page_index"":7,""viewing_time"":1720}]",49367.0,,,2327,,,,,,,,,,,,,,,,,
,instructions,377142.0,0.0-1.3-0.3,"[{""page_index"":0,""viewing_time"":2788},{""page_index"":1,""viewing_time"":8066},{""page_index"":2,""viewing_time"":922},{""page_index"":3,""viewing_time"":1674},{""page_index"":4,""viewing_time"":1380},{""page_index"":5,""viewing_time"":588},{""page_index"":6,""viewing_time"":1480},{""page_index"":7,""viewing_time"":1326}]",18224.0,,,2327,,,,,,,,,,,,,,,,,
,instructions,401753.0,0.0-3.0-0.0,"[{""page_index"":0,""viewing_time"":11028}]",11028.0,,,2327,,,,,,,,,,,,,,,,,
,instructions,117530.0,0.0-1.0-0.0,"[{""page_index"":0,""viewing_time"":8802},{""page_index"":1,""viewing_time"":21133},{""page_index"":2,""viewing_time"":22327},{""page_index"":3,""viewing_time"":11625},{""page_index"":4,""viewing_time"":11996},{""page_index"":5,""viewing_time"":13146},{""page_index"":6,""viewing_time"":13945},{""page_index"":7,""viewing_time"":9143}]",112118.0,,,2269,,,,,,,,,,,,,,,,,
,instructions,205504.0,0.0-1.1-0.1,"[{""page_index"":0,""viewing_time"":11355},{""page_index"":1,""viewing_time"":6139},{""page_index"":2,""viewing_time"":5800},{""page_index"":3,""viewing_time"":5493},{""page_index"":4,""viewing_time"":6054},{""page_index"":5,""viewing_time"":5204},{""page_index"":6,""viewing_time"":5423},{""page_index"":7,""viewing_time"":3980}]",49448.0,,,2269,,,,,,,,,,,,,,,,,
,instructions,108337.0,0.0-1.0-0.0,"[{""page_index"":0,""viewing_time"":4882},{""page_index"":1,""viewing_time"":17923},{""page_index"":2,""viewing_time"":18592},{""page_index"":3,""viewing_time"":16062},{""page_index"":4,""viewing_time"":10083},{""page_index"":5,""viewing_time"":6865},{""page_index"":6,""viewing_time"":3900},{""page_index"":5,""viewing_time"":5066},{""page_index"":6,""viewing_time"":13308},{""page_index"":7,""viewing_time"":7503}]",104185.0,,,2335,,,,,,,,,,,,,,,,,
,instructions,60587.0,0.0-1.0-0.0,"[{""page_index"":0,""viewing_time"":1095},{""page_index"":1,""viewing_time"":8577},{""page_index"":2,""viewing_time"":5789},{""page_index"":3,""viewing_time"":9498},{""page_index"":4,""viewing_time"":7411},{""page_index"":5,""viewing_time"":10670},{""page_index"":6,""viewing_time"":12614},{""page_index"":7,""viewing_time"":2644}]",58299.0,,,2274,,,,,,,,,,,,,,,,,
,instructions,1301764.0,0.0-1.1-0.1,"[{""page_index"":0,""viewing_time"":1124293},{""page_index"":1,""viewing_time"":11133},{""page_index"":2,""viewing_time"":14548},{""page_index"":3,""viewing_time"":12871},{""page_index"":4,""viewing_time"":8363},{""page_index"":5,""viewing_time"":10820},{""page_index"":6,""viewing_time"":21642},{""page_index"":7,""viewing_time"":1491}]",1205161.0,,,2274,,,,,,,,,,,,,,,,,
,instructions,72627.0,0.0-1.0-0.0,"[{""page_index"":0,""viewing_time"":4455},{""page_index"":1,""viewing_time"":16136},{""page_index"":2,""viewing_time"":8923},{""page_index"":3,""viewing_time"":8908},{""page_index"":4,""viewing_time"":6373},{""page_index"":5,""viewing_time"":4806},{""page_index"":6,""viewing_time"":12459},{""page_index"":7,""viewing_time"":3542}]",65604.0,,,2343,,,,,,,,,,,,,,,,,
,instructions,127649.0,0.0-1.1-0.1,"[{""page_index"":0,""viewing_time"":2347},{""page_index"":1,""viewing_time"":1631},{""page_index"":2,""viewing_time"":1496},{""page_index"":3,""viewing_time"":6988},{""page_index"":4,""viewing_time"":2894},{""page_index"":5,""viewing_time"":5918},{""page_index"":6,""viewing_time"":4997},{""page_index"":7,""viewing_time"":1696}]",27968.0,,,2343,,,,,,,,,,,,,,,,,
,instructions,182735.0,0.0-1.2-0.2,"[{""page_index"":0,""viewing_time"":2028},{""page_index"":1,""viewing_time"":1840},{""page_index"":2,""viewing_time"":2047},{""page_index"":3,""viewing_time"":2734},{""page_index"":4,""viewing_time"":2487},{""page_index"":5,""viewing_time"":6565},{""page_index"":6,""viewing_time"":2031},{""page_index"":7,""viewing_time"":1287}]",21020.0,,,2343,,,,,,,,,,,,,,,,,
