success,trial_type,time_elapsed,internal_node_id,view_history,rt,responses,correct,pid,revealed_states,num_clicks_accrued,state_rewards,trial_id,block,trial_index,score,simulation_mode,rewards,path,actions,action_times,queries,displayed_time,trial_time,stimulus,button_pressed
,mouselab-mdp,371175.0,0.0-3.0-1.0-0.0,,"[98842, 2627, 259]",,,2201,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', -2, 4, -48, -24, -2, 4, 48, -24, 4, -4, 24, -48]",6.4750170697895e+18,training,0.0,38.0,"[None, None, None]","[-2, 4, 48]","['0', '0', '5', '6', '7']","['right', 'right', 'up']","[101509, 104628, 105380]","{'click': {'state': {'target': ['5', '6', '7', '8', '1', '2', '4', '9', '10', '11', '12', '3'], 'time': [9276, 10541, 11396, 38219, 41681, 43001, 43757, 46235, 47127, 47949, 49149, 50181]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['5', '1', '5', '6', '7', '8', '1', '1', '2', '4', '9', '10', '11', '12', '3', '3', '0', '0', '0', '0', '0', '0'], 'time': [5205, 7791, 8976, 10144, 11061, 35205, 40061, 40912, 42163, 43398, 45317, 46819, 47553, 48437, 49639, 49972, 60318, 60702, 68527, 74667, 98111, 98811]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['2', '1', '5', '1', '5', '6', '7', '8', '6', '7', '1', '1', '2', '4', '1', '1', '9', '10', '11', '10', '12', '9', '1', '3', '3', '0', '5', '0', '0', '1', '3', '10', '9', '0', '3', '1', '0', '0'], 'time': [1867, 2201, 7307, 8842, 10127, 11028, 11779, 39393, 39544, 39644, 40328, 42047, 43381, 44082, 44683, 45133, 46702, 47486, 48237, 48370, 49405, 49472, 49555, 49705, 50373, 60418, 60646, 62587, 68544, 68594, 68644, 72081, 74467, 76703, 97827, 98010, 98144, 99412]}, 'edge': {'target': [], 'time': []}}}",105.87,108292.0,,
,mouselab-mdp,385487.0,0.0-3.0-1.0-1.0,,"[3538, 949, 1274]",,,2201,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', 2, 4, 24, 24, -4, -8, 24, 48, -4, -4, -24, -24]",7.794057713406285e+17,training,1.0,-32.0,"[None, None, None]","[-4, -4, -24]","['0', '0', '9', '10', '12']","['left', 'left', 'down']","[7343, 8791, 10567]","{'click': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0'], 'time': [4136]}, 'edge': {'target': [], 'time': []}}}",13.81,14263.0,,
,mouselab-mdp,401751.0,0.0-3.0-1.0-2.0,,"[1597, 978, 1406]",,,2201,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', -2, 4, -48, -24, -4, -8, -48, -24, -2, 4, -24, 24]",4.506983446382795e+18,training,2.0,-46.0,"[None, None, None]","[-2, 4, -48]","['0', '0', '1', '2', '3']","['up', 'up', 'right']","[8285, 9765, 11661]","{'click': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['0'], 'time': [6850]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '0'], 'time': [6449, 6883]}, 'edge': {'target': [], 'time': []}}}",15.69,16221.0,,
,mouselab-mdp,300789.0,0.0-3.0-1.0-0.0,,"[4035, 732, 538]",,,2345,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', -2, 8, 48, 24, 4, 8, 48, 48, -4, 4, 24, 24]",8.067169575405887e+17,training,0.0,59.0,"[None, None, None]","[4, 8, 48]","['0', '0', '5', '6', '7']","['right', 'right', 'up']","[6145, 7373, 8409]","{'click': {'state': {'target': ['1'], 'time': [3055]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '5'], 'time': [2919, 4217]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['2', '1', '1', '5'], 'time': [1092, 1196, 3738, 4328]}, 'edge': {'target': [], 'time': []}}}",9.11,11909.0,,
,mouselab-mdp,311171.0,0.0-3.0-1.0-1.0,,"[1178, 819, 368]",,,2345,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', -4, 8, 48, -48, -4, -4, -48, 48, -2, 8, 24, 48]",-4.689310195682358e+18,training,1.0,30.0,"[None, None, None]","[-2, 8, 24]","['0', '0', '9', '10', '11']","['left', 'left', 'up']","[3887, 5204, 6072]","{'click': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['0'], 'time': [2807]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '0'], 'time': [2773, 3308]}, 'edge': {'target': [], 'time': []}}}",9.71,10361.0,,
,mouselab-mdp,323744.0,0.0-3.0-1.0-2.0,,"[859, 355, 634]",,,2345,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', -2, 8, 24, -24, -4, -4, 24, -24, -2, -4, 48, -24]",1.164914541066255e+17,training,2.0,16.0,"[None, None, None]","[-4, -4, 24]","['0', '0', '5', '6', '7']","['right', 'right', 'up']","[2617, 3469, 4601]","{'click': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}",11.76,12551.0,,
,mouselab-mdp,334950.0,0.0-3.0-1.0-3.0,,"[1927, 816, 628]",,,2345,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', 4, 8, 48, 48, -4, -8, -48, 24, 4, 8, 24, 24]",-5.73655695108881e+18,training,3.0,36.0,"[None, None, None]","[4, 8, 24]","['0', '0', '9', '10', '12']","['left', 'left', 'down']","[4112, 5425, 6549]","{'click': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '0'], 'time': [2263, 10365]}, 'edge': {'target': [], 'time': []}}}",10.19,11184.0,,
,mouselab-mdp,346439.0,0.0-3.0-1.0-4.0,,"[678, 427, 305]",,,2345,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', -2, 4, -48, -24, -4, -8, -48, -24, -2, 4, -24, 24]",4.506983446382795e+18,training,4.0,-22.0,"[None, None, None]","[-2, 4, -24]","['0', '0', '1', '2', '4']","['up', 'up', 'left']","[2144, 3074, 3875]","{'click': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '0', '0'], 'time': [1347, 1444, 6625]}, 'edge': {'target': [], 'time': []}}}",10.47,11467.0,,
,mouselab-mdp,366264.0,0.0-3.0-1.0-5.0,,"[809, 614, 536]",,,2345,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', 2, 4, 24, 48, 2, -4, -24, -48, -2, -8, 48, -48]",-7.082365920985033e+18,training,5.0,-50.0,"[None, None, None]","[2, -4, -48]","['0', '0', '5', '6', '8']","['right', 'right', 'down']","[2041, 3154, 4187]","{'click': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '0', '1', '2'], 'time': [5901, 6623, 6657, 6685]}, 'edge': {'target': [], 'time': []}}}",18.23,19804.0,,
,mouselab-mdp,650447.0,0.0-3.0-1.0-0.0,,"[14676, 5951, 5215]",,,2329,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', 4, 8, -24, 24, 4, -4, -24, 24, -4, 4, -24, 48]",2.948336531417193e+18,training,0.0,-26.0,"[None, None, None]","[4, -4, -24]","['0', '0', '5', '6', '7']","['right', 'right', 'up']","[16912, 23387, 29124]","{'click': {'state': {'target': ['9', '5'], 'time': [10744, 14557]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['9', '9', '0', '9', '5'], 'time': [3543, 5351, 5715, 10299, 14077]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['2', '1', '0', '9', '9', '0', '9', '5', '6', '7', '6', '6', '7', '5'], 'time': [1198, 1221, 1829, 3594, 5402, 10249, 11421, 18426, 23136, 27225, 27344, 27598, 32118, 32151]}, 'edge': {'target': [], 'time': []}}}",29.63,32915.0,,
