pid,CODE,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,final_bonus,displayed_bonus
2315,hedgehog,0,0,7,1,Wed Mar 09 2022 13:05:08 GMT-0300 (Horário Padrão de Brasília),0.002,2_4_24,312,,
2200,hedgehog,0,0,7,1,Wed Mar 09 2022 09:53:11 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
2284,bighorn,0,0,7,1,Wed Mar 09 2022 10:23:01 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
2334,chinchilla,0,0,7,1,Wed Mar 09 2022 08:34:19 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,,
2327,chinchilla,0,0,7,1,Wed Mar 09 2022 10:26:01 GMT-0600 (Central Standard Time),0.002,2_4_24,312,,
2269,porcupine,0,0,7,1,Wed Mar 09 2022 09:10:44 GMT-0600 (Central Standard Time),0.002,2_4_24,312,,
2335,guanaco,0,0,7,1,Wed Mar 09 2022 11:41:49 GMT-0500 (EST),0.002,2_4_24,312,,
2274,guanaco,0,0,7,1,Wed Mar 09 2022 10:10:42 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
2343,dromedary,0,0,7,1,Wed Mar 09 2022 12:30:07 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
2201,weasel,0,0,7,1,Wed Mar 09 2022 09:55:17 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
2316,rooster,0,0,7,1,Wed Mar 09 2022 10:09:50 GMT-0600 (Central Standard Time),0.002,2_4_24,312,,
2285,rooster,0,0,7,1,Wed Mar 09 2022 07:18:42 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,,
2202,civet,0,0,7,1,Wed Mar 09 2022 09:54:30 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
2344,iguana,0,0,7,1,Wed Mar 09 2022 10:53:59 GMT-0600 (Central Standard Time),0.002,2_4_24,312,,
2317,iguana,0,0,7,1,Wed Mar 09 2022 11:25:09 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
2318,iguana,0,0,7,1,Wed Mar 09 2022 11:08:49 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
2314,iguana,0,0,7,1,Wed Mar 09 2022 10:06:28 GMT-0600 (Central Standard Time),0.002,2_4_24,312,,
2203,iguana,0,0,7,1,Wed Mar 09 2022 09:59:01 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
2345,fruitbat,0,0,7,1,Wed Mar 09 2022 11:22:19 GMT-0600 (Central Standard Time),0.002,2_4_24,312,,
2329,fruitbat,0,0,7,1,Wed Mar 09 2022 11:23:59 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
2346,reindeer,0,0,7,1,Wed Mar 09 2022 12:04:48 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
2319,reindeer,0,0,7,1,Wed Mar 09 2022 19:20:51 GMT+0300 (East Africa Time),0.002,2_4_24,312,,
2330,bobcat,0,0,7,1,Wed Mar 09 2022 10:28:02 GMT-0600 (Central Standard Time),0.002,2_4_24,312,,
2204,bobcat,0,0,7,1,Wed Mar 09 2022 08:00:07 GMT-0700 (Mountain Standard Time),0.002,2_4_24,312,,
2205,bobcat,0,0,7,1,Wed Mar 09 2022 09:55:22 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
2206,fieldmouse,0,0,7,1,Wed Mar 09 2022 08:53:11 GMT-0600 (Central Standard Time),0.002,2_4_24,312,,
2320,hedgehog,0,0,7,1,Wed Mar 09 2022 10:24:24 GMT-0600 (Central Standard Time),0.002,2_4_24,312,,
2341,bighorn,0,0,7,1,Wed Mar 09 2022 11:45:43 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
2321,bighorn,0,0,7,1,Wed Mar 09 2022 11:13:15 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
2255,bighorn,0,0,7,1,Wed Mar 09 2022 07:02:59 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,,
2270,guanaco,0,0,7,1,Wed Mar 09 2022 07:13:56 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,,
2261,guanaco,0,0,7,1,Wed Mar 09 2022 09:02:12 GMT-0600 (Central Standard Time),0.002,2_4_24,312,,
2207,walrus,0,0,7,1,Wed Mar 09 2022 09:53:47 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
2208,aoudad,0,0,7,1,Wed Mar 09 2022 09:53:06 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
2209,aoudad,0,0,7,1,Wed Mar 09 2022 09:54:46 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
2339,hedgehog,0,0,7,1,Wed Mar 09 2022 11:39:01 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.45,3.45
2336,hedgehog,0,0,7,1,Wed Mar 09 2022 11:35:32 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.45,3.45
2271,hedgehog,0,0,7,1,Wed Mar 09 2022 10:16:16 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.37,3.37
2221,hedgehog,0,0,7,1,Wed Mar 09 2022 09:58:23 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.8,2.80
2210,hedgehog,0,0,7,1,Wed Mar 09 2022 09:54:48 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.66,2.66
2347,bighorn,0,0,7,1,Wed Mar 09 2022 08:52:12 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,1.11,1.11
2272,bighorn,0,0,7,1,Wed Mar 09 2022 10:11:53 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.44,3.44
2222,bighorn,0,0,7,1,Wed Mar 09 2022 09:57:02 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,0.1,0
2223,bighorn,0,0,7,1,Wed Mar 09 2022 07:54:52 GMT-0700 (Mountain Standard Time),0.002,2_4_24,312,2.55,2.55
2224,bighorn,0,0,7,1,Wed Mar 09 2022 09:53:16 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.46,3.46
2360,chinchilla,0,0,7,1,Wed Mar 09 2022 13:09:03 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.94,2.94
2348,chinchilla,0,0,7,1,Wed Mar 09 2022 11:04:40 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.31,3.31
2273,chinchilla,0,0,7,1,Wed Mar 09 2022 10:16:57 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.24,3.24
2225,chinchilla,0,0,7,1,Wed Mar 09 2022 09:01:14 GMT-0600 (Central Standard Time),0.002,2_4_24,312,2.09,2.09
2226,chinchilla,0,0,7,1,Wed Mar 09 2022 09:55:37 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.41,3.41
2340,porcupine,0,0,7,1,Wed Mar 09 2022 10:35:03 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.48,3.48
2307,porcupine,0,0,7,1,Wed Mar 09 2022 10:57:54 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,0.1,0
2227,porcupine,0,0,7,1,Wed Mar 09 2022 07:01:11 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,1.71,1.71
2228,porcupine,0,0,7,1,Wed Mar 09 2022 09:54:47 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.38,3.38
2211,porcupine,0,0,7,1,Wed Mar 09 2022 09:53:21 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.52,3.52
