success,trial_type,time_elapsed,internal_node_id,view_history,rt,responses,correct,pid,revealed_states,num_clicks_accrued,state_rewards,trial_id,block,trial_index,score,simulation_mode,rewards,path,actions,action_times,queries,displayed_time,trial_time,stimulus,button_pressed
True,fullscreen,4056,0.0-0.0,,,,,2371,,,,,,,,,,,,,,,,,
True,fullscreen,2568,0.0-0.0,,,,,2204,,,,,,,,,,,,,,,,,
True,fullscreen,2905,0.0-0.0,,,,,1731,,,,,,,,,,,,,,,,,
True,fullscreen,1006356,0.0-4.0,,,,,1731,,,,,,,,,,,,,,,,,
True,fullscreen,2904,0.0-0.0,,,,,2365,,,,,,,,,,,,,,,,,
True,fullscreen,501817,0.0-4.0,,,,,2365,,,,,,,,,,,,,,,,,
True,fullscreen,2511,0.0-0.0,,,,,2372,,,,,,,,,,,,,,,,,
True,fullscreen,603359,0.0-4.0,,,,,2372,,,,,,,,,,,,,,,,,
True,fullscreen,3306,0.0-0.0,,,,,2373,,,,,,,,,,,,,,,,,
True,fullscreen,689712,0.0-4.0,,,,,2373,,,,,,,,,,,,,,,,,
True,fullscreen,23330,0.0-0.0,,,,,1737,,,,,,,,,,,,,,,,,
True,fullscreen,807241,0.0-4.0,,,,,1737,,,,,,,,,,,,,,,,,
True,fullscreen,37688,0.0-0.0,,,,,2368,,,,,,,,,,,,,,,,,
True,fullscreen,2592956,0.0-4.0,,,,,2368,,,,,,,,,,,,,,,,,
True,fullscreen,3677,0.0-0.0,,,,,2370,,,,,,,,,,,,,,,,,
True,fullscreen,696980,0.0-4.0,,,,,2370,,,,,,,,,,,,,,,,,
True,fullscreen,13561,0.0-0.0,,,,,1754,,,,,,,,,,,,,,,,,
True,fullscreen,803049,0.0-4.0,,,,,1754,,,,,,,,,,,,,,,,,
True,fullscreen,12350,0.0-0.0,,,,,2367,,,,,,,,,,,,,,,,,
True,fullscreen,706234,0.0-4.0,,,,,2367,,,,,,,,,,,,,,,,,
True,fullscreen,8386,0.0-0.0,,,,,2374,,,,,,,,,,,,,,,,,
True,fullscreen,567697,0.0-4.0,,,,,2374,,,,,,,,,,,,,,,,,
