browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,pid
chrome,windows,en-US,16,0,irlexp10_1,2022-03-09 19:48:22.834358,2022-03-09 19:49:18.946897,,0.0,6,live,2371
chrome,windows,en-US,21,0,irlexp10_1,2022-03-09 22:40:26.353180,2022-03-09 22:40:31.796877,,0.0,6,live,2204
chrome,windows,en-US,0,0,irlexp10_1,2022-03-09 20:09:24.608111,2022-03-09 20:10:37.518796,2022-03-09 20:26:17.158140,0.0,3,live,1731
chrome,windows,en-US,1,0,irlexp10_1,2022-03-09 19:00:57.584051,2022-03-09 19:08:35.191385,2022-03-09 19:09:30.790110,0.0,3,live,2365
chrome,windows,en-US,2,0,irlexp10_1,2022-03-10 03:08:43.673717,2022-03-10 03:08:48.772717,2022-03-10 03:18:56.597450,0.0,3,live,2372
chrome,windows,en-US,3,0,irlexp10_1,2022-03-09 21:42:23.965646,2022-03-09 21:42:32.634055,2022-03-09 21:54:05.015011,0.0,3,live,2373
chrome,windows,en-US,6,0,irlexp10_1,2022-03-09 19:01:19.200393,2022-03-09 19:05:21.919262,2022-03-09 19:14:52.585671,0.0,3,live,1737
firefox,windows,en-US,9,0,irlexp10_1,2022-03-09 19:06:55.023106,2022-03-09 19:24:00.697113,2022-03-09 19:50:57.411063,0.0,3,live,2368
chrome,windows,en-US,11,0,irlexp10_1,2022-03-09 19:35:14.300043,2022-03-09 19:36:15.098443,2022-03-09 19:47:02.475687,0.0,3,live,2370
chrome,windows,en-US,17,0,irlexp10_1,2022-03-09 20:37:40.474365,2022-03-09 20:39:25.023001,2022-03-09 20:51:12.911313,0.0,3,live,1754
chrome,windows,en-US,19,0,irlexp10_1,2022-03-09 19:03:46.800682,2022-03-09 19:04:03.028770,2022-03-09 19:15:43.738416,0.0,3,live,2367
chrome,windows,en-US,22,0,irlexp10_1,2022-03-09 23:01:41.659225,2022-03-09 23:01:53.485982,2022-03-09 23:11:23.565114,0.0,3,live,2374
