success,trial_type,time_elapsed,internal_node_id,view_history,rt,responses,correct,pid,revealed_states,num_clicks_accrued,state_rewards,trial_id,block,trial_index,score,simulation_mode,rewards,path,actions,action_times,queries,displayed_time,trial_time,stimulus,button_pressed
,instructions,18737,0.0-1.0-0.0,"[{""page_index"":0,""viewing_time"":2830},{""page_index"":1,""viewing_time"":2260},{""page_index"":2,""viewing_time"":2246},{""page_index"":3,""viewing_time"":1506},{""page_index"":4,""viewing_time"":1816},{""page_index"":5,""viewing_time"":861},{""page_index"":6,""viewing_time"":1787},{""page_index"":7,""viewing_time"":1370}]",14676.0,,,2371,,,,,,,,,,,,,,,,,
,instructions,41106,0.0-1.0-0.0,"[{""page_index"":0,""viewing_time"":5763},{""page_index"":1,""viewing_time"":7610},{""page_index"":2,""viewing_time"":2255},{""page_index"":3,""viewing_time"":1254},{""page_index"":4,""viewing_time"":3420},{""page_index"":5,""viewing_time"":11741},{""page_index"":6,""viewing_time"":3354},{""page_index"":7,""viewing_time"":2799}]",38197,,,1731,,,,,,,,,,,,,,,,,
,instructions,119144,0.0-1.1-0.1,"[{""page_index"":0,""viewing_time"":2637},{""page_index"":1,""viewing_time"":3732},{""page_index"":2,""viewing_time"":10369},{""page_index"":3,""viewing_time"":7478},{""page_index"":4,""viewing_time"":5468},{""page_index"":5,""viewing_time"":2222},{""page_index"":6,""viewing_time"":14945},{""page_index"":7,""viewing_time"":2025}]",48877,,,1731,,,,,,,,,,,,,,,,,
,instructions,187128,0.0-3.0-0.0,"[{""page_index"":0,""viewing_time"":3830}]",3831,,,1731,,,,,,,,,,,,,,,,,
,instructions,17563,0.0-1.0-0.0,"[{""page_index"":0,""viewing_time"":1407},{""page_index"":1,""viewing_time"":2494},{""page_index"":2,""viewing_time"":2601},{""page_index"":3,""viewing_time"":1374},{""page_index"":4,""viewing_time"":1905},{""page_index"":5,""viewing_time"":1657},{""page_index"":6,""viewing_time"":1744},{""page_index"":7,""viewing_time"":1466}]",14650.0,,,2365,,,,,,,,,,,,,,,,,
,instructions,123558,0.0-1.1-0.1,"[{""page_index"":0,""viewing_time"":18306},{""page_index"":1,""viewing_time"":9586},{""page_index"":2,""viewing_time"":7281},{""page_index"":3,""viewing_time"":9563},{""page_index"":4,""viewing_time"":6144},{""page_index"":5,""viewing_time"":7026},{""page_index"":6,""viewing_time"":8864},{""page_index"":7,""viewing_time"":7690}]",74461.0,,,2365,,,,,,,,,,,,,,,,,
,instructions,440923,0.0-1.2-0.2,"[{""page_index"":0,""viewing_time"":2818},{""page_index"":1,""viewing_time"":1955},{""page_index"":2,""viewing_time"":1780},{""page_index"":3,""viewing_time"":2407},{""page_index"":4,""viewing_time"":1646},{""page_index"":5,""viewing_time"":7087},{""page_index"":6,""viewing_time"":3090},{""page_index"":7,""viewing_time"":1855}]",22639.0,,,2365,,,,,,,,,,,,,,,,,
,instructions,467757,0.0-1.3-0.3,"[{""page_index"":0,""viewing_time"":1287},{""page_index"":1,""viewing_time"":1757},{""page_index"":2,""viewing_time"":1183},{""page_index"":3,""viewing_time"":6275},{""page_index"":4,""viewing_time"":1158},{""page_index"":5,""viewing_time"":793},{""page_index"":6,""viewing_time"":1281},{""page_index"":7,""viewing_time"":1288}]",15024.0,,,2365,,,,,,,,,,,,,,,,,
,instructions,84264,0.0-1.0-0.0,"[{""page_index"":0,""viewing_time"":9519},{""page_index"":1,""viewing_time"":15289},{""page_index"":2,""viewing_time"":11066},{""page_index"":3,""viewing_time"":11929},{""page_index"":4,""viewing_time"":10281},{""page_index"":5,""viewing_time"":7049},{""page_index"":6,""viewing_time"":12801},{""page_index"":7,""viewing_time"":3817}]",81751,,,2372,,,,,,,,,,,,,,,,,
,instructions,120661,0.0-3.0-0.0,"[{""page_index"":0,""viewing_time"":11723}]",11723,,,2372,,,,,,,,,,,,,,,,,
