success,trial_type,time_elapsed,internal_node_id,view_history,rt,responses,correct,pid,revealed_states,num_clicks_accrued,state_rewards,trial_id,block,trial_index,score,simulation_mode,rewards,path,actions,action_times,queries,displayed_time,trial_time,stimulus,button_pressed
,mouselab-mdp,203910,0.0-3.0-1.0-0.0,,"[10945, 524, 278]",,,1731,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', -2, -8, 24, 24, 2, -4, 24, -48, -2, -4, -24, -48]",7.037128295931229e+18,training,0.0,6.0,"[None, None, None]","[-2, -8, 24]","['0', '0', '1', '2', '3']","['up', 'up', 'right']","[12409, 13432, 14201]","{'click': {'state': {'target': ['9', '2', '6', '12', '4', '3', '8', '7'], 'time': [3479, 4670, 5524, 6971, 8234, 9113, 9888, 10569]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['0', '9', '1', '2', '1', '5', '6', '5', '0', '10', '12', '4', '1', '3', '8', '7'], 'time': [2723, 2923, 4036, 4453, 5019, 5170, 5253, 6286, 6352, 6652, 6853, 8052, 8736, 9003, 9753, 10453]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['5', '0', '0', '9', '1', '2', '1', '5', '6', '5', '0', '9', '10', '12', '9', '4', '1', '3', '6', '8', '6', '7'], 'time': [420, 2336, 2742, 3905, 4170, 4986, 5053, 5220, 6257, 6320, 6386, 6503, 6719, 7303, 7836, 8620, 8869, 9406, 9637, 10253, 10386, 10937]}, 'edge': {'target': [], 'time': []}}}",14.74,16519.0,,
,mouselab-mdp,214335,0.0-3.0-1.0-1.0,,"[2117, 158, 155]",,,1731,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', 2, -8, -24, 48, 4, 4, -48, 24, 2, -4, -24, 24]",1.466645676459689e+18,training,1.0,41.0,"[None, None, None]","[2, -8, 48]","['0', '0', '1', '2', '4']","['up', 'up', 'left']","[3231, 3888, 4544]","{'click': {'state': {'target': ['4'], 'time': [1723]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['0', '4'], 'time': [1324, 1637]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '0', '4', '1', '9'], 'time': [1133, 1338, 2037, 6106, 9721]}, 'edge': {'target': [], 'time': []}}}",9.11,10345.0,,
,mouselab-mdp,225767,0.0-3.0-1.0-2.0,,"[1195, 176, 181]",,,1731,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', -4, -4, 48, -48, -2, -8, 48, 48, -4, -4, -48, 48]",7.16068933233386e+18,training,2.0,39.0,"[None, None, None]","[-4, -4, 48]","['0', '0', '9', '10', '12']","['left', 'left', 'down']","[2036, 2747, 3420]","{'click': {'state': {'target': ['12'], 'time': [1309]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['0', '9', '12'], 'time': [975, 1003, 1152]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '0', '9', '12'], 'time': [846, 985, 1035, 4421]}, 'edge': {'target': [], 'time': []}}}",9.84,11341.0,,
,mouselab-mdp,235517,0.0-3.0-1.0-3.0,,"[6151, 70, 75]",,,1731,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', -2, 4, 24, 24, -4, 8, 48, 24, -4, 8, -48, -24]",-3.127342074357005e+18,training,3.0,46.0,"[None, None, None]","[-4, 8, 48]","['0', '0', '5', '6', '7']","['right', 'right', 'up']","[6858, 7426, 8003]","{'click': {'state': {'target': ['8', '3', '12', '11', '4', '7'], 'time': [1365, 2435, 3861, 4620, 5093, 6272]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['0', '8', '7', '3', '2', '4', '10', '12', '12', '10', '11', '4', '1', '5', '6', '7'], 'time': [870, 1071, 1970, 2303, 2904, 2953, 3303, 3354, 3741, 4305, 4420, 4970, 5496, 5554, 5671, 6141]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '0', '8', '7', '3', '2', '4', '10', '12', '12', '10', '11', '4', '1', '5', '6', '7', '6'], 'time': [636, 970, 1837, 2187, 2887, 2937, 3255, 3320, 3475, 4172, 4354, 4887, 5476, 5504, 5571, 5705, 6554, 8770]}, 'edge': {'target': [], 'time': []}}}",8.71,9658.0,,
,mouselab-mdp,244591,0.0-3.0-1.0-4.0,,"[3461, 19, 21]",,,1731,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', 2, -4, -24, -24, -4, 4, 24, -48, 4, 8, 48, 48]",-4.2504753121492997e+18,training,4.0,56.0,"[None, None, None]","[4, 8, 48]","['0', '0', '9', '10', '12']","['left', 'left', 'down']","[4185, 4713, 5232]","{'click': {'state': {'target': ['4', '7', '8', '12'], 'time': [1486, 2138, 2731, 3475]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '2', '4', '7', '6', '8', '12', '10', '9'], 'time': [1090, 1156, 1459, 2006, 2457, 2541, 3390, 3790, 4123]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '1', '2', '4', '7', '6', '8', '12', '10', '9'], 'time': [572, 1124, 1256, 1756, 2428, 2508, 3073, 3757, 3857, 6010]}, 'edge': {'target': [], 'time': []}}}",8.73,9017.0,,
,mouselab-mdp,254094,0.0-3.0-1.0-5.0,,"[2142, 59, 77]",,,1731,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', -2, 8, 48, 24, 4, 8, 48, 48, -4, 4, 24, 24]",8.067169575405887e+17,training,5.0,52.0,"[None, None, None]","[-2, 8, 48]","['0', '0', '1', '2', '3']","['up', 'up', 'right']","[3151, 3727, 4311]","{'click': {'state': {'target': ['12', '3'], 'time': [1808, 2403]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['9', '12', '9', '1', '3', '2'], 'time': [1426, 1743, 2060, 2142, 2242, 2759]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '9', '12', '9', '1', '3', '2', '5'], 'time': [878, 1442, 1993, 2092, 2176, 2742, 2942, 5192]}, 'edge': {'target': [], 'time': []}}}",9.01,9423.0,,
,mouselab-mdp,263187,0.0-3.0-1.0-6.0,,"[1127, 98, 90]",,,1731,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', 4, 8, 48, 48, -4, -8, -48, 24, 4, 8, 24, 24]",-5.73655695108881e+18,training,6.0,59.0,"[None, None, None]","[4, 8, 48]","['0', '0', '1', '2', '3']","['up', 'up', 'right']","[1720, 2319, 2911]","{'click': {'state': {'target': ['3'], 'time': [1116]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '3'], 'time': [864, 998]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '1', '3', '8', '5'], 'time': [791, 913, 1382, 7548, 7764]}, 'edge': {'target': [], 'time': []}}}",8.59,9019.0,,
,mouselab-mdp,273887,0.0-3.0-1.0-7.0,,"[1809, 77, 19]",,,1731,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', -4, -8, 48, -48, -2, -8, 48, 24, -2, 8, 24, -24]",6.221411054408101e+18,training,7.0,35.0,"[None, None, None]","[-4, -8, 48]","['0', '0', '1', '2', '3']","['up', 'up', 'right']","[2525, 3102, 3623]","{'click': {'state': {'target': ['3'], 'time': [1927]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['3'], 'time': [1768]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '3', '7'], 'time': [1121, 8651, 8935]}, 'edge': {'target': [], 'time': []}}}",9.72,10622.0,,
,mouselab-mdp,284078,0.0-3.0-1.0-8.0,,"[2435, 75, 107]",,,1731,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', 2, -4, 48, -48, 2, -8, 24, -24, -4, -8, 24, -24]",-8.977351099475699e+18,training,8.0,43.0,"[None, None, None]","[2, -4, 48]","['0', '0', '1', '2', '3']","['up', 'up', 'right']","[3153, 3743, 4360]","{'click': {'state': {'target': ['12', '4', '3'], 'time': [1220, 1893, 2495]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['9', '10', '12', '9', '4', '2', '3'], 'time': [968, 1000, 1067, 1617, 1784, 2210, 2283]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '9', '10', '12', '9', '4', '2', '3', '6'], 'time': [532, 985, 1017, 1534, 1634, 2168, 2250, 2684, 5251]}, 'edge': {'target': [], 'time': []}}}",8.72,10096.0,,
,mouselab-mdp,293215,0.0-3.0-1.0-9.0,,"[4134, 51, 64]",,,1731,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['', 2, 4, -24, 24, 4, -8, -48, 48, 2, 4, -48, -24]",-6.74953611421507e+18,training,9.0,39.0,"[None, None, None]","[4, -8, 48]","['0', '0', '5', '6', '8']","['right', 'right', 'down']","[4883, 5434, 6018]","{'click': {'state': {'target': ['3', '12', '4', '7', '8'], 'time': [1260, 2090, 2712, 3663, 4255]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '3', '9', '12', '4', '1', '7', '6', '8'], 'time': [995, 1111, 1745, 2028, 2561, 3128, 3587, 4012, 4132]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '1', '3', '9', '12', '4', '1', '7', '6', '8'], 'time': [628, 1028, 1679, 1762, 2396, 3066, 3161, 3994, 4061, 4583]}, 'edge': {'target': [], 'time': []}}}",8.75,9043.0,,
